,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
88,Stephen Bach,Male,Stanford University,Christopher Re,Male,Stanford,Learning the Structure of Generative Models without Labeled Data
89,Bangrui Chen,Male,Cornell University,Peter I Frazier,Male,Cornell University,Dueling Bandits with Weak Regret
90,Yeshwanth Cherapanamjeri,Male,Microsoft Research,Kartik Gupta,Male,Microsoft Research,Nearly Optimal Robust Matrix Completion
91,Alon Brutzkus,Male,Tel Aviv University,Amir Globerson,Male,Tel Aviv University,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs
92,Chenzi Zhang,Female,HKU,Hubert Chan,Male,University of Hong Kong,Re-revisiting Learning on Hypergraphs: Confidence Interval and Subgradient Method
93,Tsendsuren Munkhdalai,Male,University of Massachusetts,Hong Yu,Male,University of Massachusetts,Meta Networks
94,Rui Shu,Male,Stanford University,Mohammad Ghavamzadeh,Male,Adobe Research & INRIA,Bottleneck Conditional Density Estimation
95,Jialei Wang,Male,University of Chicago,Lin Xiao,Male,Microsoft Research,Exploiting Strong Convexity from Data with Primal-Dual First-Order Algorithms
96,James MacGlashan,Male,Cogitai,Michael L. Littman,Male,Brown University,Interactive Learning from Policy-Dependent Human Feedback
97,Eugene Belilovsky,Male,CentraleSupelec,Matthew B Blaschko,Male,KU Leuven,Learning to Discover Sparse Graphical Models
98,Claudio Gentile,Male,Universita dell'Insubria,Evans Etrue Howard,Male,University of Insubria,On Context-Dependent Clustering of Bandits
99,Yuanzhi Li,Male,Princeton University,Yingyu Liang,Male,Princeton University,Provable Alternating Gradient Descent for Non-negative Matrix Factorization with Strong Correlations
100,Yuchen Zhang,Male,Stanford,Martin Wainwright,Male,University of California at Berkeley,Convexified Convolutional Neural Networks
101,Fan Ma,Male,Xian Jiaotong University,Xuanyi Dong,Male,University of Technology Sydney,Self-Paced Co-training
102,Juyong Kim,Male,Seoul National University,Sung Ju Hwang,Male,UNIST / AItrics,SplitNet: Learning to Semantically Split Deep Networks for Parameter Reduction and Model Parallelization
103,Matthew Hoffman,Male,Google Research,Matthew Hoffman,Male,Google Research,Learning Deep Latent Gaussian Models with Markov Chain Monte Carlo
104,Qi Lei,Female,University of Texas at Austin,Pradeep Ravikumar,Male,Carnegie Mellon University,Doubly Greedy Primal-Dual Coordinate Descent for Sparse Empirical Risk Minimization
105,Nir Baram,Male,Technion - Israel Institute of Technology,Shie Mannor,Male,Technion,End-to-End Differentiable Adversarial Imitation Learning
106,Tian Gao,Male,IBM Research,Murray Campbell,Male,IBM,Local-to-Global Bayesian Network Structure Learning
107,Lihong Li,Male,Microsoft Research,Dengyong Zhou,Male,Microsoft Research,Provably Optimal Algorithms for Generalized Linear Contextual Bandits
