,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
176,176,Andrew Hou,Male,Nankai University,Ming-Ming Cheng,Male,Nankai University,Self-Erasing Network for Integral Object Attention.
177,177,Maxwell Collins,Male,Google Inc.,Jon Shlens,Male,Google Research,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction.
178,178,Peng Jiang,Male,Shandong University,Baoquan Chen,Male,Shandong University,DifNet: Semantic Segmentation by Diffusion Networks.
179,179,Jie Cao,Male,"Center for Research on Intelligent Perception and Computing (CRIPAC) at Institute of Automation, Chinese Academy of Sciences.",Zhenan Sun,Male,"Institute of Automation, Chinese Academy of Sciences (CASIA)",Learning a High Fidelity Pose Invariant Model for High-resolution Face Frontalization.
180,180,Liang Zhang,Male,"School of Computer Science and Technology, Xidian University, China",Mohammed Bennamoun,Male,University of Western Australia,Attention in Convolutional LSTM for Gesture Recognition.
181,181,Jonghwan Mun,Male,POSTECH,Bohyung Han,Male,Seoul National University,Learning to Specialize with Knowledge Distillation for Visual Question Answering.
182,182,Chenfei Wu,Male,Beijing University of Posts and Telecommunications,Xuan Dong,Male,Beijing University of Posts and Telecommunications,Chain of Reasoning for Visual Question Answering.
183,183,Will Norcliffe-Brown,Male,AimBrain,Sarah Parisot,Male,Huawei,Learning Conditioned Graph Structures for Interpretable Visual Question Answering.
184,184,Medhini Narasimhan,Male,UIUC,Alex Schwing,Male,University of Illinois at Urbana-Champaign,Out of the Box: Reasoning with Graph Convolution Nets for Factual Visual Question Answering.
185,185,Sainandan Ramakrishnan,Male,Georgia Institute of Technology,Stefan Lee,Male,Georgia Institute of Technology,Overcoming Language Priors in Visual Question Answering with Adversarial Regularization.
186,186,Ding Liu,Male,Bytedance AI Lab,Thomas Huang,Male,UIUC,Non-Local Recurrent Network for Image Restoration.
187,187,Tobias Plötz,Male,TU Darmstadt,Stefan Roth,Male,TU Darmstadt,Neural Nearest Neighbors Networks.
188,188,Shakarim Soltanayev,Male,Ulsan National Institute of Science and Technology,Se Young Chun,Male,UNIST,Training deep learning based denoisers without ground truth data.
189,189,Sebastian Lunz,Male,University of Cambridge,Ozan Öktem,Male,KTH - Royal Institute of Technology,Adversarial Regularizers in Inverse Problems.
190,190,Yi Tay,Male,Nanyang Technological University,Jian Su,Male,"I2R, Singapore",Densely Connected Attention Propagation for Reading Comprehension.
191,191,Oana-Maria Camburu,Female,University of Oxford,Phil Blunsom,Male,Oxford University,e-SNLI: Natural Language Inference with Natural Language Explanations.
192,192,Sander Dieleman,Male,DeepMind,Karen Simonyan,Male,DeepMind,The challenge of realistic music generation: modelling raw audio at scale.
193,193,Jinhwan Park,Male,Seoul National University,Wonyong Sung,Male,Seoul National University,Fully Neural Network Based Speech Recognition on Mobile and Embedded Devices.
194,194,Ye Jia,Male,Google,Yonghui Wu,Male,Google,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis.
195,195,Sercan Arik,Male,Google,Yanqi Zhou,Male,Baidu Research,Neural Voice Cloning with a Few Samples.
196,196,Patrick Chen,Male,UCLA,Cho-Jui Hsieh,Male,"UCLA, Google Research",GroupReduce: Block-Wise Low-Rank Approximation for Neural Language Model Shrinking.
197,197,Daya Guo,Female,Sun Yat-Sen University,Jian Yin,Male,Sun Yat-Sen University,Dialog-to-Action: Conversational Question Answering Over a Large-Scale Knowledge Base.
198,198,Yizhe Zhang,Male,Microsoft Research,Bill Dolan,Male,Microsoft,Generating Informative and Diverse Conversational Responses via Adversarial Information Maximization.
199,199,Yue Zhao,Male,The Chinese University of Hong Kong,Dahua Lin,Male,The Chinese University of Hong Kong,Trajectory Convolution for Action Recognition.
200,200,Jingwei Xu,Male,Shanghai Jiao Tong University,Xiaokang Yang,Male,Shanghai Jiao Tong University,Video Prediction via Selective Sampling.
201,201,Daan Wynen,Male,INRIA,Julien Mairal,Male,Inria,Unsupervised Learning of Artistic Styles with Archetypal Style Analysis.
202,202,Guanhong Tao,Male,Purdue University,Xiangyu Zhang,Male,Purdue University,Attacks Meet Interpretability: Attribute-steered Detection of Adversarial Samples.
203,203,Tal Ben-Nun,Male,ETH Zurich,Torsten Hoefler,Male,ETH Zurich,Neural Code Comprehension: A Learnable Representation of Code Semantics.
204,204,Edward Choi,Male,Google,Jimeng Sun,Male,Georgia Tech,MiME: Multilevel Medical Embedding of Electronic Health Records for Predictive Healthcare.
205,205,Tianqi Chen,Male,University of Washington,Arvind Krishnamurthy,Male,University of Washington,Learning to Optimize Tensor Programs.
206,206,Mislav Balunovic,Male,ETH Zurich,Martin Vechev,Male,"DeepCode and ETH Zurich, Switzerland",Learning to Solve SMT Formulas.
207,207,Nevena Lazic,Male,Google,Greg Imwalle,Male,Google,Data center cooling using model-predictive control.
208,208,Ankit Shah,Male,Massachusetts Institute of Technology,Shen Li,Male,MIT,Bayesian Inference of Temporal Task Specifications from Demonstrations.
209,209,Naigang Wang,Male,IBM T. J. Watson Research Center,Kailash Gopalakrishnan,Male,IBM Research,Training Deep Neural Networks with 8-bit Floating Point Numbers.
210,210,Celestine Dünner,Male,IBM Research,Haris Pozidis,Male,IBM Research,Snap ML: A Hierarchical Framework for Machine Learning.
211,211,Haidar Khan,Male,Rensselaer Polytechnic Institute,Bulent Yener,Male,Rensselaer Polytechnic Institute (RPI),Learning filter widths of spectral decompositions with wavelets.
212,212,Jeffrey Chan,Male,UC Berkeley,Yun Song,Male,UC Berkeley,A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks.
213,213,Daniel Johnson,Male,Harvey Mudd College,Peter Sankhagowit,Male,Intel Corporation,Latent Gaussian Activity Propagation: Using Smoothness and Structure to Separate and Localize Sounds in Large Noisy Environments.
214,214,Felipe Tobar,Male,Universidad de Chile,Felipe Tobar,Male,Universidad de Chile,Bayesian Nonparametric Spectral Estimation.
215,215,Abubakar Abid,Male,Stanford,James Zou,Male,Stanford University,Learning a Warping Distance from Unlabeled Time Series Using Sequence Autoencoders.
216,216,Nesime Tatbul,Male,Intel Labs and MIT,Justin Gottschlich,Male,Intel Labs,Precision and Recall for Time Series.
217,217,Hao Wu,Male,Freie Universität Berlin,Frank Noe,Male,FU Berlin,Deep Generative Markov State Models.
218,218,Jeremias Knoblauch,Male,Warwick University,Theo Damoulas,Male,University of Warwick        The Alan Turing Institute,Doubly Robust Bayesian Inference for Non-Stationary Streaming Data with $\beta$-Divergences.
219,219,Ira Shavitt,Male,Weizmann Institute of Science,Eran Segal,Male,Weizmann Institute of Science,Regularization Learning Networks: Deep Learning for Tabular Datasets.
220,220,Namrata Anand,Male,Stanford University,Possu Huang,Male,Stanford University,Generative modeling for protein structures.
221,221,Ofir Lindenbaum,Male,Yale,Smita Krishnaswamy,Female,Yale University,Geometry Based Data Generation.
222,222,John Halloran,Male,"University of California, Davis",David M Rocke,Male,"University of California, Davis",Learning Concave Conditional Likelihood Models for Improved Analysis of Tandem Mass Spectra.
