,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
6214,2012,Forrest Sheng Bao,Yuanlin Zhang 0002,AAAI,Temporally Expressive Planning Based on Answer Set Programming with Constraints.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4833,https://dblp.org/rec/conf/aaai/BaoZ12
6215,2012,Elias Bareinboim,Judea Pearl,AAAI,Transportability of Causal Effects - Completeness Results.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5188,https://dblp.org/rec/conf/aaai/BareinboimP12
6216,2012,Joseph Kelly Barker,Richard E. Korf,AAAI,Solving Peg Solitaire with Bidirectional BFIDA.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5124,https://dblp.org/rec/conf/aaai/BarkerK12
6217,2012,Joseph Kelly Barker,Richard E. Korf,AAAI,Solving Dots-And-Boxes.,2,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5126,https://dblp.org/rec/conf/aaai/BarkerK12a
6218,2012,Andrea Bartolini,Luca Benini,AAAI,Optimization and Controlled Systems - A Case Study on Thermal Aware Workload Dispatching.,4,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5042,https://dblp.org/rec/conf/aaai/BartoliniLMB12
6219,2012,Xiaohui Bei,Endong Yang,AAAI,Optimal Proportional Cake Cutting with Connected Pieces.,5,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4980,https://dblp.org/rec/conf/aaai/BeiCHTY12
6220,2012,Ramón Béjar,David Vidal,AAAI,The Automated Vacuum Waste Collection Optimization Problem.,6,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4926,https://dblp.org/rec/conf/aaai/BejarFMMSV12
6221,2012,Marc G. Bellemare,Michael Bowling,AAAI,Investigating Contingency Awareness Using Atari 2600 Games.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5162,https://dblp.org/rec/conf/aaai/BellemareVB12
6222,2012,Jur van den Berg,Ron Alterovitz,AAAI,Efficient Approximate Value Iteration for Continuous Gaussian POMDPs.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5159,https://dblp.org/rec/conf/aaai/BergPA12
6223,2012,Subhrajit Bhattacharya,Vijay Kumar 0001,AAAI,Search-Based Path Planning with Homotopy Class Constraints in 3D.,3,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4940,https://dblp.org/rec/conf/aaai/BhattacharyaLK12
