,year,first-author,last-author,journal/conference,title,number-of-authors,paper-url,DBLP-url
544,2015,Xin Li 0013,Yuhong Guo,IJCAI,Multi-Label Classification with Feature-Aware Non-Linear Label Space Transformation.,2,http://ijcai.org/Abstract/15/511,https://dblp.org/rec/conf/ijcai/0013G15
545,2015,Mohammad Abdulaziz,Charles Gretton,IJCAI,Exploiting Symmetries by Planning for a Descriptive Quotient.,3,http://ijcai.org/Abstract/15/212,https://dblp.org/rec/conf/ijcai/AbdulazizNG15
546,2015,Andrés Abeliuk,Pascal Van Hentenryck,IJCAI,A Bargaining Mechanism for One-Way Games.,3,http://ijcai.org/Abstract/15/068,https://dblp.org/rec/conf/ijcai/AbeliukBH15
547,2015,André Abramé,Djamal Habet,IJCAI,On the Resiliency of Unit Propagation to Max-Resolution.,2,http://ijcai.org/Abstract/15/044,https://dblp.org/rec/conf/ijcai/AbrameH15
548,2015,Michael Abseher,Stefan Woltran,IJCAI,Improving the Efficiency of Dynamic Programming on Tree Decompositions via Machine Learning.,4,http://ijcai.org/Abstract/15/045,https://dblp.org/rec/conf/ijcai/AbseherDMW15
549,2015,Meysam Aghighi,Christer Bäckström,IJCAI,Cost-Optimal and Net-Benefit Planning - A Parameterised Complexity View.,2,http://ijcai.org/Abstract/15/213,https://dblp.org/rec/conf/ijcai/AghighiB15
550,2015,Mehwish Alam,Amedeo Napoli,IJCAI,Mining Definitions from RDF Annotations Using Formal Concept Analysis.,4,http://ijcai.org/Abstract/15/121,https://dblp.org/rec/conf/ijcai/AlamBCN15
551,2015,Muddasser Alam,Sarvapali D. Ramchurn,IJCAI,A Scalable Interdependent Multi-Issue Negotiation Protocol for Energy Exchange.,4,http://ijcai.org/Abstract/15/159,https://dblp.org/rec/conf/ijcai/AlamGRR15
552,2015,Natasha Alechina,Hoang Nga Nguyen,IJCAI,On the Boundary of (Un)decidability - Decidable Model-Checking for a Fragment of Resource Agent Logic.,4,http://ijcai.org/Abstract/15/214,https://dblp.org/rec/conf/ijcai/AlechinaBLN15
553,2015,Natasha Alechina,Franco Raimondi,IJCAI,Symbolic Model Checking for One-Resource RB+-ATL.,4,http://ijcai.org/Abstract/15/155,https://dblp.org/rec/conf/ijcai/AlechinaLNR15
554,2015,Martin Aleksandrov,Martin Aleksandrov,IJCAI,Online Fair Division.,1,http://ijcai.org/Abstract/15/617,https://dblp.org/rec/conf/ijcai/Aleksandrov15
555,2015,Martin Aleksandrov,Toby Walsh,IJCAI,Online Fair Division - Analysing a Food Bank Problem.,4,http://ijcai.org/Abstract/15/360,https://dblp.org/rec/conf/ijcai/AleksandrovAGW15
556,2015,Daniele Alfarone,Jesse Davis,IJCAI,Unsupervised Learning of an IS-A Taxonomy from a Limited Domain-Specific Corpus.,2,http://ijcai.org/Abstract/15/206,https://dblp.org/rec/conf/ijcai/AlfaroneD15
557,2015,Ron Alford,David W. Aha,IJCAI,Tight Bounds for HTN Planning with Task Insertion.,3,http://ijcai.org/Abstract/15/215,https://dblp.org/rec/conf/ijcai/AlfordBA15
558,2015,Noga Alon,Moshe Tennenholtz,IJCAI,How Robust Is the Wisdom of the Crowds?,4,http://ijcai.org/Abstract/15/291,https://dblp.org/rec/conf/ijcai/AlonFLT15
559,2015,Mario Alviano,Francesco Ricca,IJCAI,A MaxSAT Algorithm Using Cardinality Constraints of Bounded Size.,3,http://ijcai.org/Abstract/15/379,https://dblp.org/rec/conf/ijcai/AlvianoDR15
560,2015,Mario Alviano,Wolfgang Faber 0001,IJCAI,Stable Model Semantics of Abstract Dialectical Frameworks Revisited - A Logic Programming Perspective.,2,http://ijcai.org/Abstract/15/380,https://dblp.org/rec/conf/ijcai/AlvianoF15
561,2015,Roberto Amadini,Jacopo Mauro,IJCAI,A Multicore Tool for Constraint Solving.,3,http://ijcai.org/Abstract/15/039,https://dblp.org/rec/conf/ijcai/AmadiniGM15
562,2015,Antoine Amarilli,Michael Benedikt,IJCAI,Combining Existential Rules and Description Logics.,2,http://ijcai.org/Abstract/15/381,https://dblp.org/rec/conf/ijcai/AmarilliB15
563,2015,Ankit Anand,Parag Singla,IJCAI,ASAP-UCT - Abstraction of State-Action Pairs in UCT.,4,http://ijcai.org/Abstract/15/216,https://dblp.org/rec/conf/ijcai/AnandGMS15
564,2015,Spyros Angelopoulos 0001,Spyros Angelopoulos 0001,IJCAI,Further Connections Between Contract-Scheduling and Ray-Searching Problems.,1,http://ijcai.org/Abstract/15/217,https://dblp.org/rec/conf/ijcai/Angelopoulos15
565,2015,Dana Angluin,Dana Fisman,IJCAI,Learning Regular Languages via Alternating Automata.,3,http://ijcai.org/Abstract/15/466,https://dblp.org/rec/conf/ijcai/AngluinEF15
566,2015,Elliot Anshelevich,Koushik Kar,IJCAI,Strategic Network Formation through an Intermediary.,3,http://ijcai.org/Abstract/15/069,https://dblp.org/rec/conf/ijcai/AnshelevichBK15
567,2015,Carlos Ansótegui,Joel Gabàs,IJCAI,Exploiting the Structure of Unsatisfiable Cores in MaxSAT.,3,http://ijcai.org/Abstract/15/046,https://dblp.org/rec/conf/ijcai/AnsoteguiDG15
