,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
358,2010,Gowtham Bellala,"Hewlett Packard Enterprise Labs, Palo Alto, CA, USA",Clayton Scott,"University of Michigan, Ann Arbor, USA",NIPS,Extensions of Generalized Binary Search to Group Identification and Exponential Costs.,3,https://proceedings.neurips.cc/paper/2010/hash/5dd9db5e033da9c6fb5ba83c7a7ebea9-Abstract.html,https://dblp.org/rec/conf/nips/BellalaBS10
359,2010,Samy Bengio,"Google, Inc.",David Grangier,nan,NIPS,Label Embedding Trees for Large Multi-Class Tasks.,3,https://proceedings.neurips.cc/paper/2010/hash/06138bc5af6023646ede0e1f7c1eac75-Abstract.html,https://dblp.org/rec/conf/nips/BengioWG10
360,2010,José Bento 0001,"Boston College, MA, USA",Andrea Montanari,nan,NIPS,Learning Networks of Stochastic Differential Equations.,3,https://proceedings.neurips.cc/paper/2010/hash/8df707a948fac1b4a0f97aa554886ec8-Abstract.html,https://dblp.org/rec/conf/nips/BentoIM10
361,2010,Alessandro Bergamo,"Amazon, Seattle, WA, USA",Lorenzo Torresani,"Computer Science Department, Dartmouth College",NIPS,Exploiting weakly-labeled Web images to improve object classification - a domain adaptation approach.,2,https://proceedings.neurips.cc/paper/2010/hash/98dce83da57b0395e163467c9dae521b-Abstract.html,https://dblp.org/rec/conf/nips/BergamoT10
362,2010,Andrey Bernstein,nan,Nahum Shimkin,nan,NIPS,Online Classification with Specificity Constraints.,3,https://proceedings.neurips.cc/paper/2010/hash/9cfdf10e8fc047a44b08ed031e1f0ed1-Abstract.html,https://dblp.org/rec/conf/nips/BernsteinMS10
363,2010,Alina Beygelzimer,nan,Tong Zhang 0001,"Peking University, Institute of Computer Science and Technology, Beijing, China",NIPS,Agnostic Active Learning Without Constraints.,4,https://proceedings.neurips.cc/paper/2010/hash/00411460f7c92d2124a67ea0f4cb5f85-Abstract.html,https://dblp.org/rec/conf/nips/BeygelzimerHLZ10
364,2010,Danny Bickson,"Carnegie Mellon University, Pittsburgh, USA",Carlos Guestrin,"University of Washington, Seattle, WA, USA",NIPS,Inference with Multivariate Heavy-Tails in Linear Models.,2,https://proceedings.neurips.cc/paper/2010/hash/e995f98d56967d946471af29d7bf99f1-Abstract.html,https://dblp.org/rec/conf/nips/BicksonG10
365,2010,Jacob Bien,nan,Michael W. Mahoney,"University of California, Berkeley, Department of Statistics",NIPS,CUR from a Sparse Optimization Viewpoint.,3,https://proceedings.neurips.cc/paper/2010/hash/b20bb95ab626d93fd976af958fbc61ba-Abstract.html,https://dblp.org/rec/conf/nips/BienXM10
366,2010,Gilles Blanchard,nan,Nicole Krämer 0002,"University of Duisburg-Essen, Germany",NIPS,Optimal learning rates for Kernel Conjugate Gradient regression.,2,https://proceedings.neurips.cc/paper/2010/hash/b2f627fff19fda463cb386442eac2b3d-Abstract.html,https://dblp.org/rec/conf/nips/BlanchardK10
367,2010,Matthew B. Blaschko,"KU Leuven, Belgium",Andrew Zisserman,"University of Oxford, UK",NIPS,Simultaneous Object Detection and Ranking with Weak Supervision.,3,https://proceedings.neurips.cc/paper/2010/hash/6da37dd3139aa4d9aa55b8d237ec5d4a-Abstract.html,https://dblp.org/rec/conf/nips/BlaschkoVZ10
368,2010,Liefeng Bo,nan,Dieter Fox,"University of Washington, Seattle, Washington, USA",NIPS,Kernel Descriptors for Visual Recognition.,3,https://proceedings.neurips.cc/paper/2010/hash/4558dbb6f6f8bb2e16d03b85bde76e2c-Abstract.html,https://dblp.org/rec/conf/nips/BoRF10
369,2010,Sander M. Bohte,"Centrum Wiskunde & Informatica, Amsterdam, The Netherlands",Jaldert O. Rombouts,nan,NIPS,Fractionally Predictive Spiking Neurons.,2,https://proceedings.neurips.cc/paper/2010/hash/2dace78f80bc92e6d7493423d729448e-Abstract.html,https://dblp.org/rec/conf/nips/BohteR10
370,2010,Edwin V. Bonilla,"Australian National University, Acton, USA",Scott Sanner,"Australian National University, Acton, USA",NIPS,Gaussian Process Preference Elicitation.,3,https://proceedings.neurips.cc/paper/2010/hash/46922a0880a8f11f8f69cbb52b1396be-Abstract.html,https://dblp.org/rec/conf/nips/BonillaGS10
371,2010,Byron Boots,nan,Geoffrey J. Gordon,"Machine Learning Department, Carnegie Mellon University",NIPS,Predictive State Temporal Difference Learning.,2,https://proceedings.neurips.cc/paper/2010/hash/3473decccb0509fb264818a7512a8b9b-Abstract.html,https://dblp.org/rec/conf/nips/BootsG10
372,2010,Alexandre Bouchard-Côté,"University of British Columbia, Department of Statistics",Michael I. Jordan,"University of California, Berkeley, Department of Electrical Engineering and Computer Science",NIPS,Variational Inference over Combinatorial Spaces.,2,https://proceedings.neurips.cc/paper/2010/hash/cb70ab375662576bd1ac5aaf16b3fca4-Abstract.html,https://dblp.org/rec/conf/nips/Bouchard-CoteJ10
373,2010,Abdeslam Boularias,nan,Brahim Chaib-draa,"Laval University, Québec City, Canada",NIPS,Bootstrapping Apprenticeship Learning.,2,https://proceedings.neurips.cc/paper/2010/hash/47a658229eb2368a99f1d032c8848542-Abstract.html,https://dblp.org/rec/conf/nips/BoulariasC10
374,2010,Christos Boutsidis,nan,Petros Drineas,Rensselaer Polytechnic Institute,NIPS,Random Projections for $k$-means Clustering.,3,https://proceedings.neurips.cc/paper/2010/hash/73278a4a86960eeb576a8fd4c9ec6997-Abstract.html,https://dblp.org/rec/conf/nips/BoutsidisZD10
375,2010,William Brendel,nan,Sinisa Todorovic,nan,NIPS,Segmentation as Maximum-Weight Independent Set.,2,https://proceedings.neurips.cc/paper/2010/hash/a0a080f42e6f13b3a2df133f073095dd-Abstract.html,https://dblp.org/rec/conf/nips/BrendelT10
376,2010,Matthias Broecheler,nan,Lise Getoor,"University of California, Santa Cruz, Department of Computer Science, CA, USA",NIPS,Computing Marginal Distributions over Continuous Markov Networks for Statistical Relational Learning.,2,https://proceedings.neurips.cc/paper/2010/hash/459a4ddcb586f24efd9395aa7662bc7c-Abstract.html,https://dblp.org/rec/conf/nips/BroechelerG10
377,2010,Serhat Selcuk Bucak,nan,Anil K. Jain 0001,"Cleveland Clinic, OH, USA",NIPS,Multi-label Multiple Kernel Learning by Stochastic Approximation - Application to Visual Object Recognition.,3,https://proceedings.neurips.cc/paper/2010/hash/feab05aa91085b7a8012516bc3533958-Abstract.html,https://dblp.org/rec/conf/nips/BucakJJ10
378,2010,America Chambers,nan,Mark Steyvers,nan,NIPS,Learning concept graphs from text with stick-breaking priors.,3,https://proceedings.neurips.cc/paper/2010/hash/6c8dba7d0df1c4a79dd07646be9a26c8-Abstract.html,https://dblp.org/rec/conf/nips/ChambersSS10
379,2010,Kamalika Chaudhuri,"University of California, San Diego, Computer Science Department",Sanjoy Dasgupta,"University of California, San Diego, Department of Computer Science and Engineering",NIPS,Rates of convergence for the cluster tree.,2,https://proceedings.neurips.cc/paper/2010/hash/b534ba68236ba543ae44b22bd110a1d6-Abstract.html,https://dblp.org/rec/conf/nips/ChaudhuriD10
380,2010,Anton Chechetka,nan,Carlos Guestrin,"University of Washington, Seattle, WA, USA",NIPS,Evidence-Specific Structures for Rich Tractable CRFs.,2,https://proceedings.neurips.cc/paper/2010/hash/2ac2406e835bd49c70469acae337d292-Abstract.html,https://dblp.org/rec/conf/nips/ChechetkaG10
381,2010,Wei Chen 0034,"University of Paris-Saclay, France",Zhiming Ma,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",NIPS,Two-Layer Generalization Analysis for Ranking Using Rademacher Average.,3,https://proceedings.neurips.cc/paper/2010/hash/c8ffe9a587b126f152ed3d89a146b445-Abstract.html,https://dblp.org/rec/conf/nips/ChenLM10
382,2010,Ning Chen 0002,"Central South University, School of Automation, Changsha, China",Eric P. Xing,"Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA",NIPS,Predictive Subspace Learning for Multi-view Data - a Large Margin Approach.,3,https://proceedings.neurips.cc/paper/2010/hash/8e6b42f1644ecb1327dc03ab345e618b-Abstract.html,https://dblp.org/rec/conf/nips/ChenZX10
383,2010,Sylvain Chevallier,nan,Michèle Sebag,"University of Paris-Sud, Laboratory for Computer Science (LRI), France",NIPS,"SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system.",3,https://proceedings.neurips.cc/paper/2010/hash/7c9d0b1f96aebd7b5eca8c3edaa19ebb-Abstract.html,https://dblp.org/rec/conf/nips/ChevallierPS10
384,2010,Silvia Chiappa,nan,Jan Peters 0001,"University of Cologne, Department of Psychology, Germany",NIPS,Movement extraction by detecting dynamics switches and repetitions.,2,https://proceedings.neurips.cc/paper/2010/hash/704afe073992cbe4813cae2f7715336f-Abstract.html,https://dblp.org/rec/conf/nips/ChiappaP10
385,2010,Alessandro Chiuso,"University of Padova, Department of Information Engineering, Italy",Gianluigi Pillonetto,nan,NIPS,Learning sparse dynamic linear systems using stable spline kernels and exponential hyperpriors.,2,https://proceedings.neurips.cc/paper/2010/hash/ffeabd223de0d4eacb9a3e6e53e5448d-Abstract.html,https://dblp.org/rec/conf/nips/ChiusoP10
386,2010,Andreas Christmann,nan,Ingo Steinwart,"Universität Stuttgart, Germany",NIPS,Universal Kernels on Non-Standard Input Spaces.,2,https://proceedings.neurips.cc/paper/2010/hash/4e0cb6fb5fb446d1c92ede2ed8780188-Abstract.html,https://dblp.org/rec/conf/nips/ChristmannS10
387,2010,Tom Claassen,nan,Tom Heskes,"Radboud University Nijmegen, NL",NIPS,Causal discovery in multiple models from different experiments.,2,https://proceedings.neurips.cc/paper/2010/hash/5807a685d1a9ab3b599035bc566ce2b9-Abstract.html,https://dblp.org/rec/conf/nips/ClaassenH10
388,2010,Shay B. Cohen,University of Edinburgh,Noah A. Smith,"University of Washington, Seattle, WA, USA",NIPS,Empirical Risk Minimization with Approximations of Probabilistic Grammars.,2,https://proceedings.neurips.cc/paper/2010/hash/1aa48fc4880bb0c9b8a3bf979d3b917e-Abstract.html,https://dblp.org/rec/conf/nips/CohenS10
389,2010,Elaine A. Corbett,nan,Konrad P. Körding,"University of Pennsylvania, Department of Neuroscience, Philadelphia, PA, USA",NIPS,Mixture of time-warped trajectory models for movement decoding.,3,https://proceedings.neurips.cc/paper/2010/hash/e2230b853516e7b05d79744fbd4c9c13-Abstract.html,https://dblp.org/rec/conf/nips/CorbettPK10
390,2010,Corinna Cortes,Paris Kanellakis Award,Mehryar Mohri,"New York University, Courant Institute of Mathematical Sciences, USA",NIPS,Learning Bounds for Importance Weighting.,3,https://proceedings.neurips.cc/paper/2010/hash/59c33016884a62116be975a9bb8257e3-Abstract.html,https://dblp.org/rec/conf/nips/CortesMM10
391,2010,Koby Crammer,nan,Daniel D. Lee,"University of Pennsylvania, Department of Electrical and Systems Engineering",NIPS,Learning via Gaussian Herding.,2,https://proceedings.neurips.cc/paper/2010/hash/eddea82ad2755b24c4e168c5fc2ebd40-Abstract.html,https://dblp.org/rec/conf/nips/CrammerL10
392,2010,Rémi Cuingnet,nan,Olivier Colliot,nan,NIPS,Spatial and anatomical regularization of SVM for brain image analysis.,4,https://proceedings.neurips.cc/paper/2010/hash/eecca5b6365d9607ee5a9d336962c534-Abstract.html,https://dblp.org/rec/conf/nips/CuingnetCBC10
393,2010,George E. Dahl,nan,Geoffrey E. Hinton,"Google DeepMind, London, UK",NIPS,Phone Recognition with the Mean-Covariance Restricted Boltzmann Machine.,4,https://proceedings.neurips.cc/paper/2010/hash/b73ce398c39f506af761d2277d853a92-Abstract.html,https://dblp.org/rec/conf/nips/DahlRMH10
394,2010,Hal Daumé III,"University of Maryland, College Park, MD, USA",Avishek Saha,nan,NIPS,Co-regularization Based Semi-supervised Domain Adaptation.,3,https://proceedings.neurips.cc/paper/2010/hash/4a213d37242bdcad8e7300e202e7caa4-Abstract.html,https://dblp.org/rec/conf/nips/DaumeKS10
395,2010,Aman Dhesi,nan,Purushottam Kar,nan,NIPS,Random Projection Trees Revisited.,2,https://proceedings.neurips.cc/paper/2010/hash/3def184ad8f4755ff269862ea77393dd-Abstract.html,https://dblp.org/rec/conf/nips/DhesiK10
396,2010,Uwe Dick,nan,Tobias Scheffer,"University of Potsdam, Germany",NIPS,Throttling Poisson Processes.,5,https://proceedings.neurips.cc/paper/2010/hash/b56a18e0eacdf51aa2a5306b0f533204-Abstract.html,https://dblp.org/rec/conf/nips/DickHVBS10
397,2010,Nan Ding,nan,S. V. N. Vishwanathan,"Department of Statistics, Purdue University",NIPS,t-logistic regression.,2,https://proceedings.neurips.cc/paper/2010/hash/96da2f590cd7246bbde0051047b0d6f7-Abstract.html,https://dblp.org/rec/conf/nips/DingV10
398,2010,Justin Domke,nan,Justin Domke,nan,NIPS,Implicit Differentiation by Perturbation.,1,https://proceedings.neurips.cc/paper/2010/hash/6ecbdd6ec859d284dc13885a37ce8d81-Abstract.html,https://dblp.org/rec/conf/nips/Domke10
