,Unnamed: 0,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
73,73,Zhilin Yang,Male,Carnegie Mellon University,Russ Salakhutdinov,Male,University of Toronto,Review Networks for Caption Generation.
74,74,Rong Zhu,Male,Chinese Academy of Sciences,Rong Zhu,Male,Chinese Academy of Sciences,Gradient-based Sampling: An Adaptive Importance Sampling for Least-squares.
75,75,ALEX GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,ALEX GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,Robust k-means: a Theoretical Revisit.
76,76,Corinna Cortes,Female,Google Research,Mehryar Mohri,Male,Google Research & Courant Institute of Mathematical Sciences,Boosting with Abstention.
77,77,Shantanu Jain,Male,Indiana University,Pedja Radivojac,Male,Indiana University,Estimating the class prior and posterior from noisy positives and unlabeled data.
78,78,JUN HAN,Male,Dartmouth College,Qiang Liu,Male,Dartmouth College,Bootstrap Model Aggregation for Distributed Statistical Learning.
79,79,Maria-Florina Balcan,Female,Carnegie Mellon University,Hongyang Zhang,Male,CMU,Noise-Tolerant Life-Long Matrix Completion via Adaptive Sampling.
80,80,Yangyan Li,Male,Stanford University,Leonidas Guibas,Male,Stanford University,FPNN: Field Probing Neural Networks for 3D Data.
81,81,Yuxun Zhou,Male,UC Berkeley,Costas J Spanos,Male,"University of California, Berkeley",Causal meets Submodular: Subset Selection with Directed Information.
82,82,Diederik Kingma,Male,Google,Max Welling,Male,University of Amsterdam / Qualcomm AI Research,Improving Variational Autoencoders with Inverse Autoregressive Flow.
83,83,Keerthiram Murugesan,Male,Carnegie Mellon University,Yiming Yang,Male,CMU,Adaptive Smoothed Online Multi-Task Learning.
84,84,Brian Bullins,Male,Princeton University,Tomer Koren,Male,Technion---Israel Inst. of Technology,The Limits of Learning with Missing Data.
85,85,Matteo Turchetta,Male,ETH Zurich,Andreas Krause,Male,ETH Zurich,Safe Exploration in Finite Markov Decision Processes with Gaussian Processes.
86,86,Kévin Degraux,Male,Université catholique de Louva,Laurent Jacques,Male,Université catholique de Louvain,Sparse Support Recovery with Non-smooth Loss Functions.
87,87,Ramya Korlakai Vinayak,Female,Caltech,Babak Hassibi,Male,Caltech,Crowdsourced Clustering: Querying Edges vs Triangles.
88,88,Ian Yen,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Dual Decomposed Learning with Factorwise Oracle for Structural SVM of Large Output Domain.
89,89,Kevin Ellis,Male,MIT,Josh Tenenbaum,Male,MIT,Sampling for Bayesian Program Learning.
90,90,Paul Lagrée,Male,Université Paris Sud,Olivier Cappe,Male,,Multiple-Play Bandits in the Position-Based Model.
91,91,Xiaojiao Mao,Male,Nanjing University,Yu-Bin Yang,Male,NanjingUniversity,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections.
92,92,Scott Yang,Male,New York University,Mehryar Mohri,Male,Google Research & Courant Institute of Mathematical Sciences,Optimistic Bandit Convex Optimization.
93,93,Justin Khim,Male,University of Pennsylvania,Po-Ling Loh,Female,Berkeley,Computing and maximizing influence in linear threshold and triggering models.
94,94,Chaoyue Liu,Male,The Ohio State University,Mikhail Belkin,Male,Ohio State University,Clustering with Bregman Divergences: an Asymptotic Analysis.
95,95,LEONARDI Leonardi,Male,Sapienza University of Rome,Mohammad Mahdian,Male,Google Research,Community Detection on Evolving Graphs.
96,96,Siddartha Ramamohan,Male,Indian Institute of Science,Shivani Agarwal,Male,University of Pennsylvania,Dueling Bandits: Beyond Condorcet Winners to General Tournament Solutions.
97,97,Oren Tadmor,Male,OrCam,Amnon Shashua,Male,OrCam,Learning a Metric Embedding  for Face Recognition using the Multibatch Method.
98,98,Motonobu Kanagawa,Male,The Institute of Statistical Mathematics,Kenji Fukumizu,Male,Institute of Statistical Mathematics / Preferred Networks / RIKEN AIP,Convergence guarantees for kernel-based quadrature rules in misspecified settings.
99,99,Andrew Wilson,Male,Carnegie Mellon University,Eric Xing,Male,Carnegie Mellon University,Stochastic Variational Deep Kernel Learning.
100,100,Brian W Dolhansky,Male,University of Washington,Jeff A Bilmes,Male,University of Washington,Deep Submodular Functions: Definitions and Learning.
101,101,Murat Erdogdu,Male,Stanford University,Mohsen Bayati,Male,Stanford University,Scaled Least Squares Estimator for GLMs in Large-Scale Problems.
102,102,Ehsan Elhamifar,Male,Northeastern University,Ehsan Elhamifar,Male,Northeastern University,High-Rank Matrix Completion and Clustering under Self-Expressive Models.
103,103,Alp Yurtsever,Male,EPFL,Volkan Cevher,Male,EPFL,Stochastic Three-Composite Convex Minimization.
104,104,Zequn Jie,Male,National Univ of Singapore,Shuicheng Yan,Male,National University of Singapore,Tree-Structured Reinforcement Learning for Sequential Object Localization.
105,105,Nicolas Boumal,Male,EPFL,Afonso Bandeira,Male,,The non-convex Burer-Monteiro approach works on smooth semidefinite programs.
106,106,Travis Monk,Male,University of Oldenburg,Jörg Lücke,Male,University of Oldenburg,Neurons Equipped with Intrinsic Plasticity Learn Stimulus Intensity Statistics.
107,107,Dino Oglic,Male,University of Bonn,Thomas Gärtner,Male,The University of Nottingham,Greedy Feature Construction.
108,108,Yoshinobu Kawahara,Male,Osaka University,Yoshinobu Kawahara,Male,Osaka University,Dynamic Mode Decomposition with Reproducing Kernels for Koopman Spectral Analysis.
109,109,Jose M. Alvarez,Male,NICTA,Mathieu Salzmann,Male,EPFL,Learning the Number of Neurons in Deep Networks.
110,110,Alexander Vezhnevets,Male,Google DeepMind,koray kavukcuoglu,Male,Google DeepMind,Strategic Attentive Writer for Learning Macro-Actions.
111,111,Songbai Yan,Male,University of California,Tara Javidi,Female,University of California,Active Learning from Imperfect Labelers.
112,112,Onur Teymur,Male,Imperial College London,Ben Calderhead,Male,Imperial College,Probabilistic Linear Multistep Methods.
113,113,Xinyang Yi,Male,UT Austin,Han Liu,Male,Tencent AI Lab,"More Supervision, Less Computation: Statistical-Computational Tradeoffs in Weakly Supervised Learning."
114,114,jean barbier,Male,EPFL,Lenka Zdeborová,Female,EPFL,Mutual information for symmetric rank-one matrix estimation: A proof of the replica formula.
115,115,Francesco Orabona,Male,Yahoo Research,David Pal,Male,Google,Coin Betting and Parameter-Free Online Learning.
116,116,Yanyao Shen,Male,UT Austin,Sujay Sanghavi,Male,UT-Austin,Normalized Spectral Map Synchronization.
117,117,Aurélien Garivier,Male,Ecole Normale Supérieure de Lyon,Emilie Kaufmann,Female,Telecom ParisTech,On Explore-Then-Commit strategies.
118,118,Aman Sinha,Male,Stanford University,John Duchi,Male,Stanford,Learning Kernels with Random Features.
119,119,Alhussein Fawzi,Male,Ecole Polytechnique Federale de Lausanne (EPFL),Pascal Frossard,Male,EPFL,Robustness of classifiers: from adversarial to random noise.
120,120,Daniel J Mankowitz,Male,Technion,Shie Mannor,Male,Technion,Adaptive Skills Adaptive Partitions (ASAP).
121,121,Kirthevasan Kandasamy,Male,CMU,Barnabas Poczos,Male,Carnegie Mellon University,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations.
122,122,Brenda Betancourt,Female,Duke University,Rebecca Steorts,Female,Duke University,Flexible Models for Microclustering with Application to Entity Resolution.
123,123,Alain Durmus,Male,Telecom ParisTech,Gaël RICHARD,Male,Telecom ParisTech,Stochastic Gradient Richardson-Romberg Markov Chain Monte Carlo.
124,124,Yining Wang,Male,Carnegie Mellon University,Anima Anandkumar,Female,UC Irvine,Online and Differentially-Private Tensor Decomposition.
125,125,Bo Xin,Male,Peking University,Baoyuan Wang,Male,Microsoft Research,Maximal Sparsity with Deep Networks?.
126,126,Alexander Shishkin,Male,Yandex,Pavel Serdyukov,Male,Yandex,Efficient High-Order Interaction-Aware Feature Selection Based on Conditional Mutual Information.
127,127,Mikhail Yurochkin,Male,University of Michigan,Long Nguyen,Male,University of Michigan,Geometric Dirichlet Means Algorithm for topic inference.
128,128,Marc Vuffray,Male,Los Alamos National Laboratory,Michael Chertkov,Male,Los Alamos National Laboratory,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models.
129,129,Zohar Karnin,Male,Yahoo Research,Oren Anava,Male,Technion,Multi-armed Bandits: Competing with Optimal Sequences.
130,130,Boris Belousov,Male,TU Darmstadt,Jan Peters,Male,TU Darmstadt & MPI Intelligent Systems,Catching heuristics are optimal control policies.
131,131,Hongyi Zhang,Male,MIT,Suvrit Sra,Male,MIT,Riemannian SVRG: Fast Stochastic Optimization on Riemannian Manifolds.
132,132,Xiangru Lian,Male,University of Rochester,Prof. Ji Liu Liu,Male,Kwai Inc.,A Comprehensive Linear Speedup Analysis for Asynchronous Stochastic Parallel Optimization from Zeroth-Order to First-Order.
133,133,Changyou Chen,Male,University at Buffalo,Lawrence Carin,Male,Duke University,Stochastic Gradient MCMC with Stale Gradients.
134,134,Michael Mathieu,Male,NYU,Yann LeCun,Male,NYU,Disentangling factors of variation in deep representation using adversarial training.
135,135,Carl-Johann Simon-Gabriel,Male,MPI Tuebingen,Bernhard Schölkopf,Male,"MPI for Intelligent Systems, Tübingen",Consistent Kernel Mean Estimation for Functions of Random Variables.
136,136,Xiangyu Wang,Male,Duke University,Chenlei Leng,Male,University of Warwick,DECOrrelated feature space partitioning for distributed sparse regression.
