,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Affiliation,title
68,Martin Mladenov,Google,Male,Craig Boutilier,Google,Male,Optimizing Long-term Social Welfare in Recommender Systems: A Constrained Matching Approach
69,Kai Han,"Noah’s Ark Lab, Huawei Technologies",Male,Chang Xu,University of Sydney,Male,Training Binary Neural Networks through Learning with Noisy Supervision
70,David Rolnick,University of Pennsylvania,Male,Konrad Kording,Upenn,Male,Reverse-engineering deep ReLU networks
71,Nic Dalmasso,Carnegie Mellon University,Male,Ann Lee,Carnegie Mellon University,Female,Confidence Sets and Hypothesis Testing in a Likelihood-Free Inference Setting
72,Boyan Duan,Carnegie Mellon University,Male,Larry Wasserman,Carnegie Mellon University,Male,Familywise Error Rate Control by Interactive Unmasking
73,Rob Brekelmans,University of Southern California,Male,Aram Galstyan,USC Information Sciences Institute,Male,All in the Exponential Family: Bregman Duality in Thermodynamic Variational Inference
74,Tanner Fiez,University of Washington,Male,Lillian Ratliff,University of Washington,Female,"Implicit Learning Dynamics in Stackelberg Games: Equilibria Characterization, Convergence Analysis, and Empirical Study"
75,Xiaotian Hao,"College of Intelligence and Computing, Tianjin University",Male,Kun Gai,Alibaba group,Male,Dynamic Knapsack Optimization Towards Efficient Multi-Channel Sequential Advertising
76,Arturs Backurs,TTIC,Male,Tal Wagner,MIT,Male,Scalable Nearest Neighbor Search for Optimal Transport
77,Ching-Wei Cheng,Purdue University,Male,Guang Cheng,Purdue University,Male,Mutual Transfer Learning for Massive Data
78,Robin Ru,University of Oxford,Male,Stephen Roberts,University of Oxford,Male,Bayesian Optimisation over Multiple Continuous and Categorical Inputs
79,Wenpin Tang,UC Berkeley,Male,Fengmin Tang,UCLA,Male,The Buckley-Osthus model and the block preferential attachment model: statistical analysis and application
80,Jiawei Huang,University of Illinois at Urbana-Champaign,Male,Nan Jiang,University of Illinois at Urbana-Champaign,Male,From Importance Sampling to Doubly Robust Policy Gradient
81,Aaron Lou,Cornell University,Male,Christopher De Sa,Cornell,Male,Differentiating through the Fréchet Mean
82,Rachael Hwee Ling Sim,National University of Singapore,Female,Bryan Kian Hsiang Low,National University of Singapore,Male,Collaborative Machine Learning with Incentive-Aware Model Rewards
83,Yash Chandak,University of Massachusetts Amherst,Male,Philip Thomas,University of Massachusetts Amherst,Male,Optimizing for the Future in Non-Stationary MDPs
84,Zhixuan Lin,Zhejiang University,Male,Sungjin Ahn,Rutgers University,Male,Improving Generative Imagination in Object-Centric World Models
85,Kristy Choi,Stanford University,Female,Stefano Ermon,Stanford University,Male,Fair Generative Modeling via Weak Supervision
86,Xu Chu,Peking University,Male,Qi Tong,Peking University,Female,Distance Metric Learning with Joint Representation Diversification
87,Nian Si,Stanford University,Male,Jose Blanchet,Stanford University,Male,Distributionally Robust Policy Evaluation and Learning in Offline Contextual Bandits
88,Yunhao Tang,Columbia University,Male,Remi Munos,DeepMind,Male,Taylor Expansion Policy Optimization
89,Hu Ding,University of Science and Technology of China,Male,Zixiu Wang,University of Science and Technology of China,Male,Layered Sampling for Robust Optimization Problems
90,Yan Yan,the University of Iowa,Male,Tianbao Yang,The University of Iowa,Male,Stochastic Optimization for Non-convex Inf-Projection Problems
91,Chanwoo Lee,University of Wisconsin - Madison,Male,Miaoyan Wang,University of Wisconsin - Madison,Female,Tensor denoising and completion based on ordinal observations
92,Yu-Sheng Li,National Taiwan University,Male,Ching-pei Lee,National University of Singapore,Male,Manifold Identification for Ultimately Communication-Efficient Distributed Optimization
93,Pavel Dvurechenskii,Weierstrass Institute,Male,Mathias Staudigl,Maastricht University,Male,Self-Concordant Analysis of Frank-Wolfe Algorithms
94,Ran Haba,Open University of Israel,Male,Amin Karbasi,Yale,Male,Streaming Submodular Maximization under a k-Set System Constraint
95,Yonggan Fu,Rice University,Male,Zhangyang Wang,University of Texas at Austin,Male,AutoGAN-Distiller: Searching to Compress Generative Adversarial Networks
96,Cuong Nguyen,Amazon Web Services,Male,Cedric Archambeau,Amazon Web Services,Male,LEEP: A New Measure to Evaluate Transferability of Learned Representations
97,Gabriele Farina,Carnegie Mellon University,Male,Tuomas Sandholm,Carnegie Mellon University,Male,Stochastic Regret Minimization in Extensive-Form Games
98,Gregory Plumb,Carnegie Mellon University,Male,Ameet Talwalkar,Carnegie Mellon University,Male,Explaining Groups of Points in Low-Dimensional Representations
99,Kubra Cilingir,Boston University,Female,Brian Kulis,Boston University,Male,Deep Divergence Learning
100,Nozomi Hata,Kyushu University,Male,Katsuki Fujisawa,Kyushu University,Male,Nested Subspace Arrangement for Representation of Relational Data
101,Jiani Huang,University of Pennsylvania,Female,Mayur Naik,University of Pennsylvania,Male,Generating Programmatic Referring Expressions via Program Synthesis
102,Kaveh Hassani,Autodesk,Male,Amir Hosein Khasahmadi,University of Toronto,Male,Contrastive Multi-View Representation Learning on Graphs
103,Brian Williamson,Fred Hutchinson Cancer Research Center,Male,Jean Feng,University of Washington,Female,Efficient nonparametric statistical inference on population feature importance using Shapley values
104,Tri Huynh,The University of Chicago,Male,Matthew Walter,Toyota Technological Institute at Chicago,Male,Multigrid Neural Memory
105,Peng Xu,Borealis AI,Male,Yanshuai Cao,Borealis AI,Male,On Variational Learning of Controllable Representations for Text without Supervision
106,Lan-Zhe Guo,Nanjing University,Male,Zhi-Hua Zhou,Nanjing University,Male,Safe Deep Semi-Supervised Learning for Unseen-Class Unlabeled Data
107,Scott M Jordan,University of Massachusetts,Male,Philip Thomas,University of Massachusetts Amherst,Male,Evaluating the Performance of Reinforcement Learning Algorithms
108,Akbar Rafiey,Simon Fraser University,Male,Yuichi Yoshida,National Institute of Informatics,Male,Fast and Private Submodular and $k$-Submodular Functions Maximization with Matroid Constraints
109,Albert Gu,Stanford University,Male,Razvan Pascanu,DeepMind,Male,Improving the Gating Mechanism of Recurrent Neural Networks
110,John Miller,"University of California, Berkeley",Male,Ludwig Schmidt,"University of California, Berkeley",Male,The Effect of Natural Distribution Shift on Question Answering Models
111,Sijia Liu,MIT-IBM Watson AI Lab,Male,Una-May O'Reilly,MIT,Female,Min-Max Optimization without Gradients: Convergence and Applications to Black-Box Evasion and Poisoning Attacks
112,Samyadeep Basu,UMD,Male,Soheil Feizi,University of Maryland,Male,On Second-Order Group Influence Functions for Black-Box Predictions
113,Seth Neel,University of Pennsylvania,Male,Steven Wu,University of Minnesota,Male,Oracle Efficient Private Non-Convex Optimization
114,Leslie Rice,Carnegie Mellon University,Female,Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Male,Overfitting in adversarially robust deep learning
115,Ari Pakman,Columbia University,Male,Department of Statistics Liam Paninski,"Department of Statistics, Columbia University",Male,Neural Clustering Processes
