,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
3859,2018,David G. Harris,University of Maryland,Thomas W. Pensyl,,NeurIPS,Approximation algorithms for stochastic clustering.,5,https://proceedings.neurips.cc/paper/2018/hash/3e60e09c222f206c725385f53d7e567c-Abstract.html,https://dblp.org/rec/conf/nips/HarrisLSTP18
3860,2018,Tatsunori B. Hashimoto,,Percy Liang,,NeurIPS,A Retrieve-and-Edit Framework for Predicting Structured Outputs.,4,https://proceedings.neurips.cc/paper/2018/hash/cd17d3ce3b64f227987cd92cd701cc58-Abstract.html,https://dblp.org/rec/conf/nips/HashimotoGOL18
3861,2018,Luis Haug,ETH Zurich,Adish Singla,MPI-SWS,NeurIPS,Teaching Inverse Reinforcement Learners via Features and Demonstrations.,3,https://proceedings.neurips.cc/paper/2018/hash/4928e7510f45da6575b04a28519c09ed-Abstract.html,https://dblp.org/rec/conf/nips/HaugTS18
3862,2018,Marton Havasi,,Juan José Murillo-Fuentes,,NeurIPS,Inference in Deep Gaussian Processes using Stochastic Gradient Hamiltonian Monte Carlo.,3,https://proceedings.neurips.cc/paper/2018/hash/4172f3101212a2009c74b547b6ddf935-Abstract.html,https://dblp.org/rec/conf/nips/HavasiHM18
3863,2018,Aaron J. Havens,University of Illinois Urbana-Champaign,Soumik Sarkar,Iowa State University,NeurIPS,Online Robust Policy Learning in the Presence of Unknown Adversaries.,3,https://proceedings.neurips.cc/paper/2018/hash/8a36dfc67ebfbbea9bd01cd8a4c8ad32-Abstract.html,https://dblp.org/rec/conf/nips/HavensJS18
3864,2018,Jamie Hayes,University College London,Olga Ohrimenko,Microsoft Research,NeurIPS,Contamination Attacks and Mitigation in Multi-Party Machine Learning.,2,https://proceedings.neurips.cc/paper/2018/hash/331316d4efb44682092a006307b9ae3a-Abstract.html,https://dblp.org/rec/conf/nips/HayesO18
3865,2018,Elad Hazan,,Zhiyuan Li 0005,,NeurIPS,Online Improper Learning with an Approximation Oracle.,4,https://proceedings.neurips.cc/paper/2018/hash/ad47a008a2f806aa6eb1b53852cd8b37-Abstract.html,https://dblp.org/rec/conf/nips/HazanHLL18
3866,2018,Elad Hazan,,Yi Zhang,,NeurIPS,Spectral Filtering for General Linear Dynamical Systems.,5,https://proceedings.neurips.cc/paper/2018/hash/d6288499d0083cc34e60a077b7c4b3e1-Abstract.html,https://dblp.org/rec/conf/nips/HazanLSZZ18
3867,2018,Lie He,,Martin Jaggi,,NeurIPS,COLA - Decentralized Linear Learning.,3,https://proceedings.neurips.cc/paper/2018/hash/05a70454516ecd9194c293b0e415777f-Abstract.html,https://dblp.org/rec/conf/nips/HeBJ18
3868,2018,Tianyu He,,Tie-Yan Liu,,NeurIPS,Layer-Wise Coordination between Encoder and Decoder for Neural Machine Translation.,7,https://proceedings.neurips.cc/paper/2018/hash/4fb8a7a22a82c80f2c26fe6c1e0dcbb3-Abstract.html,https://dblp.org/rec/conf/nips/HeTXHQ0L18
3869,2018,Xiaoxi He,ETH Zürich,Lothar Thiele,ETH Zürich,NeurIPS,Multi-Task Zipping via Layer-wise Neuron Sharing.,3,https://proceedings.neurips.cc/paper/2018/hash/ad8e88c0f76fa4fc8e5474384142a00a-Abstract.html,https://dblp.org/rec/conf/nips/HeZT18
3870,2018,Hoda Heidari,,Andreas Krause 0001,,NeurIPS,Fairness Behind a Veil of Ignorance - A Welfare Analysis for Automated Decision Making.,4,https://proceedings.neurips.cc/paper/2018/hash/be3159ad04564bfb90db9e32851ebf9c-Abstract.html,https://dblp.org/rec/conf/nips/HeidariFGK18
3871,2018,Dan Hendrycks,UC Berkeley,Kevin Gimpel,,NeurIPS,Using Trusted Data to Train Deep Networks on Labels Corrupted by Severe Noise.,4,https://proceedings.neurips.cc/paper/2018/hash/ad554d8c3b06d6b97ee76a2448bd7913-Abstract.html,https://dblp.org/rec/conf/nips/HendrycksMWG18
3872,2018,Jay Heo,KAIST,Sung Ju Hwang,"KAIST, AItrics",NeurIPS,Uncertainty-Aware Attention for Reliable Interpretation and Prediction.,7,https://proceedings.neurips.cc/paper/2018/hash/285e19f20beded7d215102b49d5c09a0-Abstract.html,https://dblp.org/rec/conf/nips/HeoLKLKYH18
3873,2018,Roei Herzig,,Amir Globerson,,NeurIPS,Mapping Images to Scene Graphs with Permutation-Invariant Structured Prediction.,5,https://proceedings.neurips.cc/paper/2018/hash/2668a7105966cae6e23901495176b8f9-Abstract.html,https://dblp.org/rec/conf/nips/HerzigRCBG18
3874,2018,Elad Hoffer,,Daniel Soudry,,NeurIPS,Norm matters - efficient and accurate normalization schemes in deep networks.,4,https://proceedings.neurips.cc/paper/2018/hash/a0160709701140704575d499c997b6ca-Abstract.html,https://dblp.org/rec/conf/nips/HofferBGS18
3875,2018,Matthew D. Hoffman,,Matthew D. Hoffman,,NeurIPS,Autoconj - Recognizing and Exploiting Conjugacy Without a Domain-Specific Language.,1,https://proceedings.neurips.cc/paper/2018/hash/9b89bedda1fc8a2d88c448e361194f02-Abstract.html,https://dblp.org/rec/conf/nips/Hoffman18
3876,2018,Judy Hoffman,FAIR and Georgia Tech,Ningshan Zhang,NYU,NeurIPS,Algorithms and Theory for Multiple-Source Adaptation.,3,https://proceedings.neurips.cc/paper/2018/hash/2e2079d63348233d91cad1fa9b1361e9-Abstract.html,https://dblp.org/rec/conf/nips/HoffmanMZ18
3877,2018,Zhang-Wei Hong,National Tsing Hua University,Chun-Yi Lee,National Tsing Hua University,NeurIPS,Diversity-Driven Exploration Strategy for Deep Reinforcement Learning.,6,https://proceedings.neurips.cc/paper/2018/hash/a2802cade04644083dcde1c8c483ed9a-Abstract.html,https://dblp.org/rec/conf/nips/HongSSCFL18
3878,2018,Seunghoon Hong,,Honglak Lee,,NeurIPS,Learning Hierarchical Semantic Image Manipulation through Structured Representations.,4,https://proceedings.neurips.cc/paper/2018/hash/602d1305678a8d5fdb372271e980da6a-Abstract.html,https://dblp.org/rec/conf/nips/HongYHL18
3879,2018,Yedid Hoshen,Facebook AI Research,Yedid Hoshen,Facebook AI Research,NeurIPS,Non-Adversarial Mapping with VAEs.,1,https://proceedings.neurips.cc/paper/2018/hash/3db11d259a9db7fb8965bdf25ec850b9-Abstract.html,https://dblp.org/rec/conf/nips/Hoshen18
3880,2018,Jeremy G. Hoskins,Yale University,Babis Tsourakakis,Boston University,NeurIPS,Inferring Networks From Random Walk-Based Node Similarities.,4,https://proceedings.neurips.cc/paper/2018/hash/2f25f6e326adb93c5787175dda209ab6-Abstract.html,https://dblp.org/rec/conf/nips/HoskinsMMT18
3881,2018,Qibin Hou,Nankai University,Ming-Ming Cheng,Nankai University,NeurIPS,Self-Erasing Network for Integral Object Attention.,4,https://proceedings.neurips.cc/paper/2018/hash/c042f4db68f23406c6cecf84a7ebb0fe-Abstract.html,https://dblp.org/rec/conf/nips/HouJWC18
3882,2018,Rein Houthooft,,Pieter Abbeel,,NeurIPS,Evolved Policy Gradients.,7,https://proceedings.neurips.cc/paper/2018/hash/7876acb66640bad41f1e1371ef30c180-Abstract.html,https://dblp.org/rec/conf/nips/HouthooftCISWHA18
3883,2018,Ya-Ping Hsieh,,Volkan Cevher,,NeurIPS,Mirrored Langevin Dynamics.,4,https://proceedings.neurips.cc/paper/2018/hash/6490791e7abf6b29a381288cc23a8223-Abstract.html,https://dblp.org/rec/conf/nips/HsiehKRC18
3884,2018,Jun-Ting Hsieh,Stanford University,Juan Carlos Niebles,Stanford University,NeurIPS,Learning to Decompose and Disentangle Representations for Video Prediction.,5,https://proceedings.neurips.cc/paper/2018/hash/496e05e1aea0a9c4655800e8a7b9ea28-Abstract.html,https://dblp.org/rec/conf/nips/HsiehLHLN18
3885,2018,Hexiang Hu,,Fei Sha,,NeurIPS,Synthesize Policies for Transfer and Adaptation across Tasks and Environments.,4,https://proceedings.neurips.cc/paper/2018/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html,https://dblp.org/rec/conf/nips/HuCGS18
3886,2018,Shoubo Hu,The Chinese University of Hong Kong,Yanhui Geng,Huawei Montreal Research Centre,NeurIPS,Causal Inference and Mechanism Clustering of A Mixture of Additive Noise Models.,5,https://proceedings.neurips.cc/paper/2018/hash/347665597cbfaef834886adbb848011f-Abstract.html,https://dblp.org/rec/conf/nips/HuCNCG18
