,year,first-author,first-author-affiliation,last-author,last-author-affiliation,journal/conference,title,number-of-authors,paper-url,DBLP-url
123,2020,Hao Zhang 0025,"Carnegie Mellon University, Pittsburgh, PA, USA",Eric P. Xing,"Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA",NeurIPS,AutoSync - Learning to Synchronize for Data-Parallel Distributed Deep Learning.,6,https://proceedings.neurips.cc/paper/2020/hash/0a2298a72858d90d5c4b4fee954b6896-Abstract.html,https://dblp.org/rec/conf/nips/0025LDLCX20
124,2020,Feng Wang 0034,"Tsinghua University, Department of Computer Science and Technology, Beijing, China",Fuchun Sun 0001,"Tsinghua University, Beijing National Research Center for Information Science and Technology, China",NeurIPS,Unsupervised Representation Learning by Invariance Propagation.,4,https://proceedings.neurips.cc/paper/2020/hash/23af4b45f1e166141a790d1a3126e77a-Abstract.html,https://dblp.org/rec/conf/nips/00340GS20
125,2020,Hao Wu 0035,"Tongji University, School of Mathematical Sciences, Shanghai, China",Frank Noé,nan,NeurIPS,Stochastic Normalizing Flows.,3,https://proceedings.neurips.cc/paper/2020/hash/41d80bfc327ef980528426fc810a6d7a-Abstract.html,https://dblp.org/rec/conf/nips/0035KN20
126,2020,Kai Wang 0040,"Harvard University, Cambridge, MA, USA",Milind Tambe,University of Southern California,NeurIPS,Automatically Learning Compact Quality-aware Surrogates for Optimization Problems.,4,https://proceedings.neurips.cc/paper/2020/hash/6d0c932802f6953f70eb20931645fa40-Abstract.html,https://dblp.org/rec/conf/nips/0040WPT20
127,2020,Xiang Li 0041,"Momenta, China",Jian Yang 0003,"Nanjing University of Science and Technology, School of Computer Science and Engineering, China",NeurIPS,Generalized Focal Loss - Learning Qualified and Distributed Bounding Boxes for Dense Object Detection.,8,https://proceedings.neurips.cc/paper/2020/hash/f0bda020d2470f2e74990a07a607ebd9-Abstract.html,https://dblp.org/rec/conf/nips/0041WW00LT020
128,2020,Mahdi Abavisani,nan,Vishal M. Patel,nan,NeurIPS,Deep Subspace Clustering with Data Augmentation.,4,https://proceedings.neurips.cc/paper/2020/hash/753a043674f0193523abc1bbce678686-Abstract.html,https://dblp.org/rec/conf/nips/AbavisaniNMP20
129,2020,Emmanuel Abbe,nan,Colin Sandon,nan,NeurIPS,On the universality of deep learning.,2,https://proceedings.neurips.cc/paper/2020/hash/e7e8f8e5982b3298c8addedf6811d500-Abstract.html,https://dblp.org/rec/conf/nips/AbbeS20
130,2020,Amir Abboud,nan,Marvin Künnemann,"Max Planck Institute for Informatics, Saarland Informatics Campus, Saarbrücken, Germany",NeurIPS,Impossibility Results for Grammar-Compressed Linear Algebra.,4,https://proceedings.neurips.cc/paper/2020/hash/645e6bfdd05d1a69c5e47b20f0a91d46-Abstract.html,https://dblp.org/rec/conf/nips/AbboudBBK20
131,2020,Ralph Abboud,nan,Tommaso Salvatori,nan,NeurIPS,BoxE - A Box Embedding Model for Knowledge Base Completion.,4,https://proceedings.neurips.cc/paper/2020/hash/6dbbe6abe5f14af882ff977fc3f35501-Abstract.html,https://dblp.org/rec/conf/nips/AbboudCLS20
132,2020,Luigi Acerbi,nan,Luigi Acerbi,nan,NeurIPS,Variational Bayesian Monte Carlo with Noisy Likelihoods.,1,https://proceedings.neurips.cc/paper/2020/hash/5d40954183d62a82257835477ccad3d2-Abstract.html,https://dblp.org/rec/conf/nips/Acerbi20
133,2020,Damien Ackerer,nan,Thibault Vatter,nan,NeurIPS,Deep Smoothing of the Implied Volatility Surface.,3,https://proceedings.neurips.cc/paper/2020/hash/858e47701162578e5e627cd93ab0938a-Abstract.html,https://dblp.org/rec/conf/nips/AckererTV20
134,2020,Julius Adebayo,nan,Been Kim,"AI2, Allen Institute for Artificial Intelligence, Seattle, US",NeurIPS,Debugging Tests for Model Explanations.,4,https://proceedings.neurips.cc/paper/2020/hash/075b051ec3d22dac7b33f788da631fd4-Abstract.html,https://dblp.org/rec/conf/nips/AdebayoMLK20
135,2020,Ashutosh Adhikari,nan,William L. Hamilton,nan,NeurIPS,Learning Dynamic Belief Graphs to Generalize on Text-Based Games.,10,https://proceedings.neurips.cc/paper/2020/hash/1fc30b9d4319760b04fab735fbfed9a9-Abstract.html,https://dblp.org/rec/conf/nips/AdhikariYCZRLPT20
136,2020,Arman Adibi,nan,Hamed Hassani,"University of Pennsylvania, USA",NeurIPS,Submodular Meta-Learning.,3,https://proceedings.neurips.cc/paper/2020/hash/27d8d40b22f812a1ba6c26f8ef7df480-Abstract.html,https://dblp.org/rec/conf/nips/AdibiMH20
137,2020,Ben Adlam,nan,Jeffrey Pennington,nan,NeurIPS,Understanding Double Descent Requires A Fine-Grained Bias-Variance Decomposition.,2,https://proceedings.neurips.cc/paper/2020/hash/7d420e2b2939762031eed0447a9be19f-Abstract.html,https://dblp.org/rec/conf/nips/AdlamP20
138,2020,Naman Agarwal,nan,Cyril Zhang,nan,NeurIPS,Stochastic Optimization with Laggard Data Pipelines.,5,https://proceedings.neurips.cc/paper/2020/hash/74dbd1111727a31a2b825d615d80b2e7-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalAKTZ20
139,2020,Alekh Agarwal,nan,Wen Sun,nan,NeurIPS,PC-PG - Policy Cover Directed Exploration for Provable Policy Gradient Learning.,4,https://proceedings.neurips.cc/paper/2020/hash/9b3a9fb4db30fc6594ec3990cbc09932-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalHKS20
140,2020,Arpit Agarwal,nan,Shivani Agarwal 0001,"University of Pennsylvania, USA",NeurIPS,Choice Bandits.,3,https://proceedings.neurips.cc/paper/2020/hash/d5fcc35c94879a4afad61cacca56192c-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalJ020
141,2020,Alekh Agarwal,nan,Wen Sun,nan,NeurIPS,FLAMBE - Structural Complexity and Representation Learning of Low Rank MDPs.,4,https://proceedings.neurips.cc/paper/2020/hash/e894d787e2fd6c133af47140aa156f00-Abstract.html,https://dblp.org/rec/conf/nips/AgarwalKKS20
142,2020,Virginia Aglietti,nan,Javier Gonzalez,"University of Málaga, Spain",NeurIPS,Multi-task Causal Learning with Gaussian Processes.,4,https://proceedings.neurips.cc/paper/2020/hash/45c166d697d65080d54501403b433256-Abstract.html,https://dblp.org/rec/conf/nips/AgliettiDAG20
143,2020,Eirikur Agustsson,nan,Lucas Theis,nan,NeurIPS,Universally Quantized Neural Compression.,2,https://proceedings.neurips.cc/paper/2020/hash/92049debbe566ca5782a3045cf300a3c-Abstract.html,https://dblp.org/rec/conf/nips/AgustssonT20
144,2020,Nasir Ahmad,nan,Luca Ambrogioni,nan,NeurIPS,GAIT-prop - A biologically plausible learning rule derived from backpropagation of error.,3,https://proceedings.neurips.cc/paper/2020/hash/7ba0691b7777b6581397456412a41390-Abstract.html,https://dblp.org/rec/conf/nips/AhmadGA20
145,2020,Zaheen Farraz Ahmad,nan,Michael Bowling,"Department of Computing Science, University of Alberta",NeurIPS,Marginal Utility for Planning in Continuous or Large Discrete Action Spaces.,3,https://proceedings.neurips.cc/paper/2020/hash/14da15db887a4b50efe5c1bc66537089-Abstract.html,https://dblp.org/rec/conf/nips/AhmadLB20
146,2020,Sara Ahmadian,nan,Yuyan Wang,nan,NeurIPS,Fair Hierarchical Clustering.,9,https://proceedings.neurips.cc/paper/2020/hash/f10f2da9a238b746d2bac55759915f0d-Abstract.html,https://dblp.org/rec/conf/nips/AhmadianEK0MMPV20
147,2020,Umair Z. Ahmed,nan,Adish Singla,nan,NeurIPS,Synthesizing Tasks for Block-based Programming.,7,https://proceedings.neurips.cc/paper/2020/hash/fd9dd764a6f1d73f4340d570804eacc4-Abstract.html,https://dblp.org/rec/conf/nips/AhmedCEFGRS20
148,2020,Nesreen K. Ahmed,nan,Nick Duffield,nan,NeurIPS,Adaptive Shrinkage Estimation for Streaming Graphs.,2,https://proceedings.neurips.cc/paper/2020/hash/780261c4b9a55cd803080619d0cc3e11-Abstract.html,https://dblp.org/rec/conf/nips/AhmedD20
149,2020,Sungsoo Ahn,nan,Jinwoo Shin,nan,NeurIPS,Guiding Deep Molecular Optimization with Genetic Exploration.,4,https://proceedings.neurips.cc/paper/2020/hash/8ba6c657b03fc7c8dd4dff8e45defcd2-Abstract.html,https://dblp.org/rec/conf/nips/AhnKLS20
150,2020,Kwangjun Ahn,nan,Suvrit Sra,"Massachusetts Institute of Technology (MIT), Laboratory for Information and Decision Systems, Cambridge, MA, USA",NeurIPS,SGD with shuffling - optimal rates without component convexity and large epoch requirements.,3,https://proceedings.neurips.cc/paper/2020/hash/cb8acb1dc9821bf74e6ca9068032d623-Abstract.html,https://dblp.org/rec/conf/nips/AhnYS20
151,2020,Laurence Aitchison,nan,Laurence Aitchison,nan,NeurIPS,Bayesian filtering unifies adaptive and non-adaptive neural network optimization methods.,1,https://proceedings.neurips.cc/paper/2020/hash/d33174c464c877fb03e77efdab4ae804-Abstract.html,https://dblp.org/rec/conf/nips/Aitchison20
152,2020,Arya Akhavan,nan,Alexandre B. Tsybakov,nan,NeurIPS,Exploiting Higher Order Smoothness in Derivative-free Optimization and Continuous Bandits.,3,https://proceedings.neurips.cc/paper/2020/hash/6646b06b90bd13dabc11ddba01270d23-Abstract.html,https://dblp.org/rec/conf/nips/AkhavanPT20
