,affiliation,country
301," Advanced Technology Labs, Adobe Systems Inc., San Francisco, CA",
302," Department of Computer Science, University of Rochester, Rochester, NY",
303," Department of Computer Science, Tokyo Institute of Technology, Tokyo, Japan",
304," Microsoft Research Cambridge, United Kingdom",
305," Dept. of Computer Sciences, University of Wisconsin Madison",
306,"Columbia University, Department of Electrical Engineering, New York, NY, USA",
307," University of Washington, Department of Electrical Engineering, Seattle, WA",
308," Computer Science Department, University of Massachusetts, Amherst, MA",
309," Signal Processing and Speech Communication Laboratory, Graz University of Technology, Austria",
310," IBM T.J. Watson Research Center, Yorktown, NY",
311," Carnegie Mellon University, School of Computer Science, Pittsburgh, PA",
312," School of Computer Science, McGill University, Montreal, Canada",
313," Ming Hsieh Dept. of Electrical Engineering, University of Southern California, Los Angeles, CA",
314, University of Pennsylvania,United States
315,سیامک روانبخش,
316," Research School of Computer Science, The Australian National University and NICTA, Canberra, Australia",
317," Department of Mathematics and Computer Science, University of Basel, Basel, Switzerland",
318," Department of Electrical & Computer Engineering, Duke University, Durham, NC",
319," Department of EECS, University of California, Berkeley",
320, The University of Tokyo,Japan
321," CMLA, UMR, CNRS, ENS Cachan, France",
322," INRIA Nancy, France",
323,"Pacific Northwest National Laboratory (PNNL), Richland, WA, USA",
324," Computer Science Department, ETH Zurich, Zurich, Switzerland",
325," CSML, University College London",
326," U. of Southern California, Los Angeles, CA",
327," Australian Centre for Visual Technologies, The University of Adelaide",
328," Autonomous Learning Laboratory, Computer Science Dept., University of Massachusetts Amherst",
329," Department of Computer Science, CSML, University College London, London",
330," School of Informatics, University of Edinburgh",UK
331," School of Informatics,University of Edinburgh",
332," Cognitive Robotics, École Nationale Supérieure de Techniques Avancées, Paris and INRIA Bordeaux Sud-Ouest, Talence, France",
333," Department of Computer Science, University of Toronto, Toronto, Ontario, Canada",
334," Department of Computer Science and Engineering, UCSD, La Jolla, CA",
335," Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA",
336," School of Computer Science and Engineering, South China University of Technology, Guangzhou, China",
337," Department of Computer Science, National University of Singapore, Singapore, Singapore",
338," Department of Mechanical Engineering, National University of Singapore, Singapore",
339," Google, New York, NY",
340," Dept. of Bioengineering, University of Pennsylvania, Philadelphia, PA",
341,"University of Electronic Science and Technology of China, Chengdu, China",
342," Department of Information and Computer Science, Aalto University, Finland",
343," LITIS, Université de Rouen-INSA de Rouen, Avenue de l'Université, St-Etienne-du-Rouvray, France",
344," Microsoft Research, Redmond",
345," iLab, H. John Heinz III College, Carnegie Mellon University, Pittsburgh, PA",
346," University of Rome Tor Vergata, Rome, Italy",
347," Centre for Computational Intelligence (Ci), Nanyang Technological University , Singapore",
348,"Temple University, Department of Computer and Information Sciences, Philadelphia, PA, USA",
349," Machine Learning Department, Carnegie Mellon University",
350," Department of Biomedical Engineering, Dalian University of Technology, Dalian, P.R.China",
351," State Key Lab of Intelligent Tech & Sys, Tsinghua National TNList Lab, Department of Computer Science and Technology, Tsinghua University, Beijing, China",
352," Microsoft Research Labs, Bangalore, India",
353," School of Computing, National University of Singapore, Singapore",
354," Computer and Information Science, University of Pennsylvania",
355," Department of Computing Science, University of Alberta, Edmonton, AB, Canada",
356," Microsoft Research, New York, NY",
357," Microsoft Research, India",
358,"Carnegie Mellon University, Pittsburgh, USA",
359," Department of Computer Science, Technion Israel Institute of Technology",
360," Institut des Systèmes Intelligents et de Robotique, Université Pierre et Marie Curie, Paris, France",
361,"I3A, Universidad de Zaragoza, Spain",
362," Department of EECS, University of California, Irvine",
363, University of Washington,United States
364, IBM T.J. Watson Research Center,
365," University of Queensland, School of ITEE, QLD, Australia and NICTA, Canberra, ACT, Australia",
366," College of Computing, Georgia Institute of Technology",
367," School of Computer Science, College of Computing, Georgia Institute of Technology, Atlanta, GA",
368," School of Computer Science, Georgia Institute of Technology, Atlanta, GA",
369," Dept. of Statistics, University of Oxford, Oxford, UK and Linear Accelerator Laboratory, CNRS, University of Paris Sud, Orsay, France and Computer Science Laboratory, CNRS, University of Paris Sud, Orsay, France",
370," Dept. IRO, Université de Montréal, Montréal, QC, Canada",
371," Department of Computer Science and Engineering, Hong Kong University of Science and Technology",
372," Department of Computer Science and Engineering, University of Washington, Seattle, WA",
373," Center for Computer Research in Music and Acoustics, Stanford University",
374," Department of Operations Research and Financial Engineering, Princeton University",
375," Saarland University, Saarbrücken, Germany",
376," Mathematics and Computer Science, University of Marburg, Marburg, Germany and Research Group on Artificial Intelligence, Hungarian Academy of Sciences and University of Szeged, Hungary",
377," Statistical Laboratory, Center for Mathematical Sciences, Cambridge, United Kingdom",
378," Dalla Lana School of Public Health, University of Toronto, Canada",
379," Department of Electrical Engineering, Computer Engineering and Informatics, Cyprus University of Technology",
380," Department of Electrical Engineering, Stanford University, Stanford, CA",
381,"Cornell University, School of Operations Research and Information Engineering, Ithaca, NY, USA",
382," Shanghai Jiao Tong University, China",
383," RSISE, Australian National University, Australia and National ICT, Canberra, Australia",
384,陈卫,
385," Amazon.com, Seattle, WA",
386," Bioinformatics Institute, A*STAR, Singapore and School of Computing, National University of Singapore, Singapore",
387," LIPN, CNRS, UMR, Université Paris Nord, Villetaneuse, France",
388," Stanford University, Computer Science Dept., Stanford, CA",
389," Georgia Institute of Technology, Atlanta, GA",
390," ENSAE, CREST, GENES",
391," Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India and IBM Research, India",
392, University of British Columbia,"Canada
UBC Point Grey
UBC Robson Square
UBC–VGH Medical Campus
UBC–Great Northern Way
Kelowna, British Columbia, Canada

UBC Okanagan
UBC Innovation Library
UBC-KGH Clinical Academic Campus"
393," EPFL, Lausanne, Switzerland",
394," Department of Electrical & Computer Engineering, Boston University, Boston, MA",
395," Computer Science Department, University of Geneva, Switzerland",
396," School of Computer Science, University of Birmingham, Edgbaston, UK",
397, U. Cambridge,
398,Stanford University,United States
399," Computer Science Department, Stanford University",
400," School of Computer Science, University of Massachusetts, Amherst, MA",
401," VMware Bulgaria EOOD, Sofia, Bulgaria",
402," Département d'informatique et de génie logiciel, Université Laval, Québec, Canada",
403," Département d'informatique et de génie logiciel, Université Laval, Québec, QC, Canada",
404," Washington University, St. Louis",United States
405," University of California, Berkeley, Berkeley, CA",
406," Carnegie Mellon University, Department of Statistics, Pittsburgh, PA",
407," Google, Inc., Pittsburgh, PA and Seattle, WA",
408," Helsinki Institute for Information Technology and Department of Information and Computer Science, Aalto University",
409," State Key Laboratory on Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China",
410," Département d'Informatique et de Recherche Opérationelle, Université de Montréal, Montréal, Québec, Canada",
411," School of Computer Science, McGill University, Canada",
412," Department of Computer Science, University College London, UK",
413," University of Lousiana at Lafayette, Lafayette, LA",
414,"Deakin University, Center for Pattern Recognition and Data Analytics, Australia",
415," Duke University, Department of Electrical and Computer Engineering, Durham, NC",
416," Reasoning and Learning Laboratory, School of Computer Science, McGill University, Montreal, QC, Canada",
417," Johns Hopkins University, Baltimore, MD",
418," LIPADE, University Paris Descartes, Paris, France",
419," University of Cambridge, Dept. of Engineering, Cambridge, UK",
420," Max Planck Institute for Intelligent Systems, Dpt. of Empirical Inference, Tübingen, Germany",
421," Technical University of Denmark, DTU Compute, Lyngby, Denmark",
422," University of California, Los Angeles",United States
423," Qualcomm Technologies, Inc., San Diego, CA",
424," INRA, CNRS, Université d’Evry Val d'Essonne, Evry, France",
425," CSAIL, MIT, Cambridge, MA",
