,affiliation,country
478," University of Pennsylvania, Department of Computer and Information Science, Philadelphia, PA",
479," Department of Computing Science, University of Alberta",
480," Dept. Elect., Inf. and Bioeng., Politecnico di Milano, Milan, Italy",
481," Departments of Computer Science and Statistics, Purdue University, West Lafayette, IN",
482," Princeton University, Princeton, NJ",
483," University of Maryland, College Park, MD",
484," VTT Technical Research Centre of Finland, Finland",
485," Machine Learning Department, School of Computer Science, Carnegie Mellon University",
486," Engineering Department, Cambridge University, Cambridge, UK",
487," CBIO Mines ParisTech, INSERM, Institut Curie",
488," Department of Computer Science and UCL Interactive Centre, University College London, UK",
489," Brigham and Women's Hospital, Boston, MA and Department of Electrical and Computer Engineering, Northeastern University, Boston, MA",
490," Microsoft Research New England, Cambridge, MA",
491," Courant Institute of Mathematical Sciences, New York University, New York, NY",
492," ICNC-ELSC & Computer Science Department, The Hebrew University of Jerusalem, Jerusalem, Israel",
493," University of Massachusetts, Amherst, MA",
494," Department of Statistics, University of Chicago, Chicago, IL",
495," University of Hyogo, Kobe, Japan",
496," Dept. of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI",
497," Department of Mathematical Informatics, The University of Tokyo, Tokyo, Japan",
498," Ecole Polytechnique Federale de Lausanne, Switzerland",
499," INRIA Lille-Nord Europe, Villeneuve d'Ascq, France and Hungarian Acad. Sci. and Univ. of Szeged, Szeged, Hungary",
500," University of Edinburgh, JCMB, Edinburgh, UK",
501," Department of Computer Science, University of Toronto. Toronto, Ontario, Canada",
502, Microsoft Research Cambridge,
503,"University of Illinois at Urbana-Champaign, Department of Computer Science, IL, USA",
504," Robotics Institute, Carnegie Mellon University, Pittsburgh, PA",
505," Department of Computer and Information Science, University of Oregon",
506," Department of Statistics, Harvard University, Cambridge, MA",
507,"Deakin University, Center for Pattern Recognition and Data Analyticss (PRaDA), Geelong, Australia",
508," Orange-Labs, Lannion, France",
509," INRIA Lille-Nord Europe, Villeneuve d'Ascq, France",
510," Dept. of Computer Science, Courant Institute of Mathematical Science, New York University",
511," Computer Science Department, Stanford University, Palo Alto, CA",
512,"Google Deepmind, London, UK",
513,"Colorado School of Mines, Department of Electrical Engineering and Computer Science, Golden, CO, USA",
514," Colorado School of Mines, Golden, Colorado",
515," Department of Electronics and Information Engineering, Huazhong University of Science and Technology",
516," School of Computer Science and Engineering and the Center for Neural Computation, The Hebrew University of Jerusalem, Jerusalem, Israel",
517," Electrical Engineering Department, Stanford University, Stanford, CA",
518," Google Inc., New York, NY",
519," Scientific Computing and Imaging Institute, Salt Lake City, UT",
520," University of Cambridge, Department of Engineering, Cambridge, UK",
521," Computer Science and Engineering, Arizona State University, Tempe, AZ and Center for Evolutionary Medicine and Informatics, Arizona State University, Tempe, AZ",
522," Dept. of Comp. Sci. & Tech., LITS Lab, TNList Lab, Tsinghua University, Beijing, China",
523," Department of Information Science and Electronic Engineering, Zhejiang University, China",
524," ICME, Stanford University, Stanford, CA",
525," Twitter Inc., San Francisco, CA",
526," National Institute of Advanced Industrial Science and Technology, Tsukuba, Ibaraki, Japan",
527,Google Research,
528," Department of Mathematics, National University of Singapore, Singapore",
529," Max Plank Institute for Intelligent Systems, Tübingen, Germany",
530,张利军,
531, Georgia Institute of Technology,United States
532," MIT, CSAIL, Cambridge, MA",
533," ETH Zurich, Zurich, Switzerland",
534," School of Computer Science and Engineering, The Hebrew University of Jerusalem, Jerusalem, Israel",
535," Dept. of Statistics and Biostatistics, Dept. of Computer Science, Rutgers University, Piscataway, NJ",
536," Department of Computer Sciences, University of Wisconsin-Madison",
537, Queensland University of Technology,Australia
538," Department of Statistics, University of Pennsylvania",
539," Department of Computer Science, University of California, Irvine",
540," Technion, Dept. of Computer Science, Haifa, Israel",
541," Department of Electrical, Computer and Energy Engineering, University of Colorado at Boulder, CO",
542," École Centrale Paris, Center for Visual Computing",
543," Princeton University, Computer Science Department and Center for Computational Intractability, Princeton",
544," Department of Electrical and Computer Engineering, The University of Texas at Austin, TX",
545," Carnegie Mellon University, Pittsburgh",
546," UC Berkeley, Berkeley, CA and School of ECE, Shiraz University, Shiraz, Iran",
547," Rehabilitation Institute of Chicago, Northwestern University",
548," Bioinformatics Program, Boston University, Boston, MA",
549," Department of Computer Science, Boston University, Boston, MA",
550,"University of California, Irvine, USA",
551," Department of Computer Science, Laval University, Canada",
552," Dorodnicyn Computing Centre of the Russian Academy of Sciences, Moscow, Russia",
553, Google DeepMind,
554," David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada",
555," IPG IDSIA, Manno, Switzerland",
556, Canadian Inst. for Advanced Research,
557, The University of Texas at Austin,United States
558," Department of Computer Science, University of Oxford, Oxford, UK",
559," University of Pennsylvania, Computer and Information Science Department, Philadelphia, PA",
560," Machine Learning Group, Department of Engineering, University of Cambridge, UK",
561," Computer Science Department, Carnegie Mellon University, Pittsburgh, PA",
562," Department of Mathematics, Stanford University",
563, Facebook Inc.,U.S.
564," School of Engineering and Applied Sciences, Harvard University, Cambridge, MA",
565," ApSTAT Technologies Inc., Montral, QC, Canada",
566," INRIA Saclay Île-de-France, Palaiseau, France",
567," Department of Computer Science, University of Illinois at Chicago",
568," University of California, Berkeley, CA",
569," MODE Lab, University of Washington, Seattle, WA",
570," ETH Zürich, Zürich, Switzerland",
571, Criteo,France
572," INRIA, LEAR Project-team, Grenoble, France",
573," University College London, Computer Science Department",
574," LTCI UMR, Telecom ParisTech, CNRS, Paris, France",
575," Machine Learning Group, University of Amsterdam",
576, Washington University in St. Louis,United States
577," Aix Marseille Université, CNRS, LIF, Marseille, France",
578," The Selim and Rachel Benin School of Computer Science and Engineering, The Hebrew University of Jerusalem",
579," Dept. of Computer Science, Cornell University, Ithaca, NY",
580," Courant Institute, New York University",
581,"Singapore Management University, School of Information Systems, Singapore",
582," NTT Software Innovation Center, Musashino-shi, Tokyo, Japan",
583, University of Cambridge,"England, United Kingdom"
584," Washington University in St. Louis, St. Louis, MO",
585," DiSTA, University of Insubria, Italy",
586," Friedrich-Schiller-Universität Jena, Germany",
587,"Purdue University, West Lafayette, Department of Computer Science",
588," Department of Electrical Engineering, Technion - Israel Institute of Technology, Haifa, Israel",
589," Google DeepMind, London, United Kingdom",
590," The University of Texas at Austin, Texas",
591, eBay Research Laboratory,
592," Technion - Israel Institute of Technology, Haifa, Israel",
593," The Hebrew University of Jerusalem, Jerusalem, Israel",
594," Department of Computer Science, Columbia University",
595," School of Informatics, The University of Edinburgh, Edinburgh",
596," University of Freiburg, Freiburg, Germany",
597,"Purdue University, USA",
598," Department of Computer Science & Engineering, Indian Institute of Technology Bombay, India",
599," Chalmers University of Technology, Gothenburg, Sweden",
600," The University of British Columbia, Vancouver, Canada",
601," Microsoft CISL, Redmond, WA",
602," Technion, Haifa, Israel",
603," CBIO Mines ParisTech, Institut Curie, France",
604," KAIST, Daejeon, Korea",
605," Department of Computer Science, University of Toronto and Canadian Institute for Advanced Research",
606," Department of Computer Science, The University of Chicago and Department of Statistics",
607," Department of Computer Science, Ben-Gurion University, Beer Sheva, Isreal",
608," IDSIA, USI&SUPSI, Lugano, Switzerland",
609, Toyota Technological Institute-Chicago,
610," Département d'Informatique de l'Ecole Normale Supérieure, CNRS, INRIA, ENS, Paris, France",
611," Department of Statistics, University of California, Irvine, CA",
612," Google Inc, Mountain View, CA",
613," Idiap Research Institute, Martigny, Switzerland and École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland",
614," Operations Research Center, Massachusetts Institute of Technology, Cambridge, MA",
615," Department of Computer Science and Information Engineering, National Taiwan University",
616," Department of Computer Science, Tsinghua University, Beijing, China",
617," Institute for Interdisciplinary Information Sciences, Tsinghua University, Beijing, China",
618," Tsinghua University, Beijing, China",
619," Department of Computer Science and Technology, Tsinghua University, Beijing, P.R. China and School of Software, Tsinghua University, Beijing, P.R. China",
620," Intel Labs, Santa Clara, CA and School of Engineering and Applied Sciences, Harvard University, Cambridge, MA",
621," The University of Iowa, Iowa City, IA",
622," Center for Evolutionary Medicine and Informatics, Arizona State University, Tempe, AZ",
623," Harvard University, Cambridge, MA",
624," School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, Oregon",
625," School of Computer Science and Technology, Tianjin University, Tianjin, P. R. China",
626," School of EECS, Oregon State University, Corvallis, OR",
627," SAS Institute Inc., Cary, NC",
628," Max-Planck-Institute for Intelligent Systems, University of Cambridge",
629," Department of Statistics, University of Georgia, Athens, GA",
630, University of Toronto,Canada
631," Queensland University of Technology, Brisbane, QLD, Australia",
632," IBM Research, Yorktown Heights, NY",
633,"Google DeepMind, London, UK",
634," University of Lille, LIFL, CNRS, INRIA Lille Nord Europe, Villeneuve d'Ascq, France",
635," Department of Chemistry, Stanford University, Stanford, CA",
636," Departments of Mathematics, Duke University, Durham, NC",
637,"New York University, Courant Institute of Mathematical Sciences, USA",
638," Empirical Inference Department, Max Planck Institute for Intelligent Systems, Tübingen, Germany",
639," NTT communication science laboratories, Atsugi-shi, Kanagawa",
640," Machine Learning and Robotics Lab, University of Stuttgart, Germany",
641, ANU & NICTA,
642," Karlsruhe Institute of Technology, Germany",
643," Center for Pattern Recognition and Data Analytics, Deakin University, Australia",
644,"Northwestern Polytechnical University, School of Computer Science, OPTIMAL, Xi'an, China",
645," Computer Science and Engineering Department, University of Texas at Arlington, Arlington, TX",
646," Tokyo Institute of Technology, Tokyo, Japan and Baidu Inc., Beijing, China",
647," Moscow State University, Moscow, Russia",
648," Department of Computer Science, Brown University, Providence, RI",
649," Institute of Science and Technology Austria, Klosterneuburg, Austria",
650," Ecole Polytechnique Fédérale de Lausanne, Lausanne, Switzerland and Idiap Research Institute, Martigny, Switzerland",
651," Walmart Labs, San Bruno, CA",
652," Universitat Politècnica de Catalunya, Barcelona, Catalunya",
653," Department of Engineering, University of Cambridge, Cambridge",
654," Indian Institute of Science, Bangalore, India",
655," University of Basel, Basel, Switzerland",
656," Department of Mathematics, MIT, School of Engineering and Applied Sciences, Harvard University",
657," Centre for Informatics and Systems of the University of Coimbra, Coimbra, Portugal",
658,"University of Melbourne, Victoria, Australia",
659, Google Research,
660," IBM Research-Brazil, Rio de Janeiro, Brazil",
661," TAO, INRIA, CNRS, LRI, Université Paris-Sud, France",
662," University of Toronto, Toronto, Canada",
663," Gatsby Unit, CSML, University College London, UK",
664, Queensland University of Technology and UC Berkeley,
665," Queensland University of Technology, Brisbane, Australia",
666," School of Computer Science and Engineering, The Hebrew University, Jerusalem, Israel",
667," ICNC-ELSC & Computer Science Department, The Hebrew University of Jerusalem, Jerusalem, Israel and The Gonda Brain Research Center, Bar Ilan University, Ramat-Gan, Israel",
668," Department of Computer Science and Applied Mathematics, Weizmann Institute of Science, Rehovot, Israel",
669," Institute for Interdisciplinary Information Sciences, Tsinghua University, China",
670," Dept. of Computer Science, Computing and Information Science, Cornell University, Ithaca, NY",
671," School of Computer Science, University of Massachusetts Amherst, MA",
672," DeepMind Technologies, London, UK",
673," School of Engineering and Applied Sciences, Harvard University",
674," Stanford University, Palo Alto. Khan Academy, Mountain View",
675," Department of Computer Science, Stanford University, Stanford, California",
676,"University of Tokyo, Japan",
677," Information Sciences Institute, Marina del Rey, CA and University of Southern California, Los Angeles, CA",
678," Helsinki Institute for Information Technology and Department of Information and Computer Science, Aalto University, Finland",
679," Institute for Computational and Mathematical Engineering, Stanford University, Stanford, CA",
680," Computer Vision & Multimedia Laboratory, University of Geneva, Switzerland",
681," Tsinghua National Laboratory for Information Science and Technology, Department of Automation, Tsinghua University, Beijing, China",
682,"University of Alberta, Edmonton, Canada",
683," Department of Mathematical and Computing Sciences, Tokyo Institute of Technology, Tokyo, Japan",
684," Machine Learning Group, Computer Science Department, Faculty of Sciences, Université Libre de Bruxelles, Brussels, Belgium",
685," Electrical Engineering Department, The Technion-Israel Institute of Technology, Haifa, Israel",
686," School of Computer Science, The University of Adelaide, Australia",
687," Department of Computer Science, The University of Texas at Austin",
688," School of EECS, Peking University",
689," Graduate School of Engineering Science, Osaka University, Japan and CiNet, National Institute of Information and Communications Technology, Japan.",
690," Computer and Information Science Department, University of Oregon",
691," Department of Computing, Imperial College London, United Kingdom",
692," Department of Computer Science & Engineering, Shanghai Jiao Tong University, Shanghai, China",
693," School of Computer Science and Engineering, The Hebrew University of Jerusalem, Israel",
694," Computer Science Department, Carnegie Mellon University",
695," Intel-NTU, National Taiwan University, Taiwan",
696," The Biodesign Institue, Arizona State University, Tempe, AZ",
697," Colorado School of Mines, Department of Electrical Engineering and Computer Science, Golden, Colorado",
698," Department of Computer Science, University of Geneva, Switzerland",
699," Google Inc, New York, NY",
700," National Tsing Hua University, ROC",
701," Key Lab. of Machine Perception, Peking University, Beijing, China and Centre for Quantum Computation and Intelligent Systems, University of Technology, Sydney, Australia",
702," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China",
703," IBM Thomas J. Watson Research Center, Yorktown Heights, NY",
704," Department of Computer Science, University of Texas at Austin",
705," Department of Statistical Science, Cornell University, Ithaca, NY and Dept. of Statistics & Biostatistics, Dept. of Computer Science, Rutgers University, Piscataway, NJ",
706," University of Science and Technology of China, Hefei, P.R. China",
707," Dept. of Comp. Sci. & Tech., TNList Lab, State Key Lab of Intell. Tech. & Sys., Tsinghua University, China",
708," School of Mathematics and Statistics, Xi'an Jiaotong University, Xi'an, China",
709, Carnegie Mellon U,
710," Princeton University Princeton, NJ",
711," ISLA, University of Amsterdam, Netherlands",
712,"German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany",
713,"University of Pennsylvania, Philadelphia, USA",
714,"University of California, Santa Cruz",United States
715,"Penn State, University Park, USA",
716,"Brown University, Providence, RI, USA",
717,"ETH Zurich, Department of Computer Science, Switzerland",
718,"Central University of Finance and Economics, School of Information, Beijing, China",
719,"University of Massachusetts, Amherst, Department of Computer Science",
720,"Toyota Technological Institute at Chicago, IL, USA",
721,"Princeton University, Department of Electrical Engineering, NJ, USA",
722,"University of Amsterdam, The Netherlands",
723,"University College London, UK",
724,"Imperial College London, Department of Mathematics, UK",
725,"Duke University, Durham, NC, USA",
726,"Technical University of Munich, Germany",
727,"Hebrew University of Jerusalem, Israel",
728,"University of Toronto, Department of Computer Science, ON, Canada",
729,"Universidad Autónoma de Madrid, Computer Science Department, Spain",
730,"University of Cambridge, Cambridge, UK",
731,"University of Michigan Ann Arbor, USA",
732,"Netflix Inc., Los Gatos, CA, USA",
733,"Georgia Tech, Atlanta, USA",
734,"University of Chicago, Booth School of Business, IL, USA",
735,"NICTA, Canberra, Australia",
736,宮内 敦史,
737,"Linköping University, Department of Electrical Engineering",
738,"University of Arizona, Tucson, AZ, USA",
739,"University of Aizu, Computer Communications Laboratory, Japan",
740,"University of Tokyo, Sugiyama Laboratory",
741,"University of California, Berkeley, Department of Electrical Engineering and Computer Sciences, CA, USA",
742,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",
743,"Tokyo Institute of Technology, Department of Mathematical and Computing Sciences",
744,"University of Massachusetts Amherst, Department of Computer Science",
745,"Oracle Labs, Burlington, MA, USA",
746,王宇翔,
747,National ICT Australia,Australia
748,"University of Cambridge, Department of Pure Mathematics and Statistic, UK",
749,"Carnegie Mellon University, Pittsburgh, PA, USA",
750,"University of Science and Technology of China, Department of Electronic Engineering and Information Science, Hefei, China",
751,"Cornell University, Ithaca, NY, USA",
752,"Technical University Munich, Germany",
753,SenseTime Group Limited,
754,"University of Texas at Austin, Department of Computer Science",
755,"University of California, San Diego, CA, USA",
756,"Nokia Bell Labs, Murray Hill, NJ, USA",
757,"Stanford University, CA, USA",
758,赵晗,
759,"École Normale Supérieure, Computer Science Department",
760,Xerox,U.S.
761,"University of Stuttgart, Germany",
762,"Technion - Israel Institute of Technology, Haifa, Israel",
763,"National and Kapodistrian University of Athens, Department of Informatics and Telecommunications",
764,TU Dortmund University - Artificial Intelligence Unit,
765,"McGill University, Montreal, Canada",
766,"TU Darmstadt, Germany",
767,"Loughborough University, UK",
768,"Université de Caen Normandie, France",
769,Indrė Žliobaitė,
770,"Lille University of Science and Technology, Research center in Computer Science, Signal and Automatic Control (CRIStAL)",
771,"Karlsruhe Institute of Technology (KIT), CV:HCI, Germany",
772,University of Maryland,United States
773,"University of Michigan, Department of Electrical Engineering and Computer Science",
774,"Princeton University, USA",
775,"Victoria University Wellington, NZ",
776,"ERNET, India",
777,"Australian National University, Acton, USA",
778,"University of Cambridge, Department of Engineering, UK",
779,"University of Patras, Greece",
780,"Stony Brook University, Stony Brook, NY, USA",
781,"Columbia University, Department of Industrial Engineering and Operations Research",
782,"University College London, Gatsby Computational Neuroscience Unit",
783,Sorbonne University,France
784,"University of Washington, Department of Computer Science and Engineering",
785,Microsoft Research Redmond,
786,"University of Edinburgh, School of Mathematics",
787,"University of Pennsylvania, Philadelphia, PA, USA",
788,"Deepmind, London, UK",
789,"Massachusetts Institute of Technology, Department of Computer Science and Electrical Engineering",
790,"New York University, NY, USA",
791,"University of California, Los Angeles, Electrical Engineering Department",
792,"Chalmers University of Technology, Göteborg, Sweden",
793,EPFL,
794,"Amazon Web Services, Palo Alto, CA, USA",
795,"California Institute of Technology, Pasadena, Computing + Mathematical Sciences Department",
796,"IBM Research - China, Shanghai, China",
797,"University of California, Berkeley, USA",
798,李帅,
799,"University of Bristol, UK",
800,"University of Lisbon, Instituto de Telecomunicaçoes, Portugal",
801,"NEC Laboratories Europe, Heidelberg, Germany",
802,"POSTECH, Pohang, South Korea",
803,"National Research University Higher School of Economics, Moscow, Russia",
804,"IBM Research AI, New Delhi, India",
805,"Tsinghua University, Beijing, China",
806,"Technical University of Dortmund, Germany",
807,"University of Hong Kong, Hong Kong, SAR, China",
808,"University of Oxford, UK",
809,"University of Pennsylvania, Department of Computer and Information Science",
810,"University of Wisconsin - Madison, Department of Industrial and Systems Engineering",
811,"Carnegie Mellon University, Machine Learning Department",
812,"University of Michigan, Ann Arbor, Department of Electrical Engineering and Computer Science",
813,"Stevens Institute of Technology, USA",
814,Özgür Şimşek,
815,"Carnegie Mellon University, Robotics Institute, Pittsburgh, PA, USA",
816,"Cornell University, Ithaca, USA",
817,"Yandex, Moscow, Russia",
818,"Duke University, Department of Statistical Science, Durham, NC, USA",
819,"Georgia Institute of Technology, Atlanta, GA, USA",
820,"ETH Zurich, Zürich, Switzerland",
821,"Microsoft Research Asia, Visual Computing Group",
822,"Boston University, USA",
823,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, USA",
824,"Georgia Institute of Technology , School of Computer Science",
825,"University of Freiburg, Germany",
826,KAUST,
827,Hong Kong University of Science and Technology,Hong Kong
828,"Peking University, Beijing, China",
829,Ecole Polytechnique,France
830,Cornell University,United States
831,UC Berkeley,
832,Princeton University,United States
833,TU Darmstadt,Germany
834,Microsoft Research / Princeton / IAS,
835,caltech.edu,
836,Sercan Ö. Arık,
837,Weizmann Institute of Science,Israel
838,New York University,United States
839,MILA,
840,Brown University,United States
841,Deepmind,
842,ETH Zurich,
843,Maluuba,Canada
844,Victoria University Wellington,"New Zealand (Maori: Te Whanganui-a-Tara, Aotearoa)"
845,Amazon Research Cambridge,
846,University of Cambridge,"England, United Kingdom"
847,Disney Research Pittsburgh,
848,Technion - Israel Institute of Technology,
849,CentraleSupelec,
850,DeepMind,
851,Zalando Research,
852,Boston University,United States
853,University of Texas at Austin,United States
854,University College London,
855,Georgia Institute of Technology,United States
856,Johns Hopkins,
857,University of Warwick,
858,Tel Aviv University,Israel
859,MIT / DeepMind,
860,INRIA Lille,
861,Inria Saclay,
862,Northeastern University,United States
863,University of Virginia,United States
864,University of California at San Diego,United States
865,University of Southern California,United States
866,University of Minnesota,United States
867,Indiana University Bloomington,United States
868,IBM Research,
869,The Chinese University of Hong Kong,
870,Sapienza University of Rome,Italy
871,UCLA,United States
872,Indian Institute of Science,India
873,Xidian University,China
874,EURECOM,France
875,Georgia Tech,United States
876,Facebook AI Research,
877,Oberlin College,United States
878,Ludwig-Maximilians-Universität München,Germany
879,Poznan University of Technology,
880,Harvard University,United States
881,USC,
882,Fred Hutchinson Cancer Center,
883,University of Montreal,
884,"University of Massachusetts, Amherst",United States
885,"University of California, San Diego",United States
886,Rutgers University,United States
887,UCSD,United States
888,The University of Haifa,
889,University of Oxford,"England, United Kingdom"
890,IIT and UCL,
891,Duke University,United States
892,TTIC,United States
893,Microsoft,U.S.
894,Universita dell'Insubria,
895,"University of Málaga, Spain",
896,STANFORD,
897,Gifs.com,
898,Technion,
899,Korea Advanced Institute of Science and Technology,South Korea
900,"Monash University, Clayton, VIC, Australia",
901,Harvard,United States
902,University of Illinios at Chicago/Shenzhen University,
903,University of Michigan,United States
904,TU Berlin / MathPlan,
905,Max Planck Institute for Informatics,
906,University of Wisconsin,United States
907,The University of Tokyo / RIKEN,
908,University of Central Florida,United States
909,Institute of Statistical Mathematics,
910,University of Pennsylvania,United States
911,Indian Institute of Technology Kanpur,India
912,Amazon,
913,Washington University in St. Louis,United States
914,Massachusetts Institute of Technology,United States
915,UCL,
916,University of Tsukuba / NEC,
917,UT Austin,United States
918,Ecole Polytechnique Federale de Lausanne (EPFL),
919,SK T-Brain,
920,IST Austria,Austria
921,UMass,United States
922,Columbia University,United States
923,Alan Turing Institute,
924,LIG,
925,George,
926,University of Toronto,Canada
927,Caltech,United States
928,POSTECH,South Korea
929,KAIST,South Korea
930,MIT CSAIL,
931,UC San Diego,United States
932,"Institute of High Performance Computing, A*STAR",
933,Syracuse University,United States
934,The University of Sydney,Australia
935,CMU/Google DeepMind,
936,"JD Digits, Mountain View, CA, USA",
937,Princeton,United States
938,Tsinghua University,
939,University of Amsterdam,Netherlands
940,"Swiss Federal Institute of Technology in Lausanne, Switzerland",
941,city university of hong kong,
942,University of Washington,United States
943,Xian Jiaotong University,China
944,Cogitai,
945,University of Alberta,
946,Leuphana University Lüneburg,
947,ENS Paris-Saclay,France
948,University of Almeria,"Andalusia, Spain"
949,Australian National University and Data61,
950,EDF R&D & Université Paris-Sud,
951,The University of Melbourne,
952,Skoltech,
953,"University of Geneva, HES",
954,Peking University,China
955,Saarland University,Germany
956,University of Massachusetts,United States
957,Institute of Neuroinformatics,
958,"IBM Research, Thomas J. Watson Research Center, USA",
959,"THE GRADUATE CENTER, CUNY",
960,Doshisha University,Japan
961,University of Bonn,Germany
962,MIT,United States
963,IBM Research - Tokyo,
964,Oxford,
965,Google Brain / Cornell University,
966,Stanford,United States
967,Deakin University,
968,Google Inc.,
969,Google Deepmind,
970,"WaveOne, Inc.",
971,University​ of Melbourne,
972,Università di Pisa,Italy
973,The University of Tokyo,Japan
974,University of Illinois at Urbana-Champaign,United States
975,MSR-INRIA Joint Center,
976,Indiana University,
977,"Hebrew University, Jerusalem",
978,Rice University,United States
979,R. V. College of Engineering & Indian Institute of Science,
980,Yale,United States
981,National Institute of Informatics,
982,"Peking University, School of EECS, MOE Key Lab of Computational Linguistics, China",
983,Nagoya Institute of Technology,Japan
984,Monash University,Australia
985,the University of Edinburgh,"Scotland, UK"
986,UIUC,United States
987,"Theoretical and Applied Computer Science Laboratory, University of Lorraine",
988,Preferred Networks / The University of Tokyo,
989,Politecnico di Milano,
990,Johns Hopkins University,United States
991,Technical University of Munich,Germany
992,University of British Columbia,"Canada
UBC Point Grey
UBC Robson Square
UBC–VGH Medical Campus
UBC–Great Northern Way
Kelowna, British Columbia, Canada

UBC Okanagan
UBC Innovation Library
UBC-KGH Clinical Academic Campus"
993,Universidad Autónoma de Madrid,
994,CSIRO Data61,
995,Carnegie Mellon University / Amazon AWS,
996,"University of California at Berkeley, Department of Electrical Engineering and Computer Sciences, CA, USA",
997,University of Chicago,United States
998,Academia sinica,
999,Gatech,United States
1000,王云鹤,
1001,"Nanyang Technological University, Singapore",Singapore
1002,University of Alberta/Indiana University,
1003,Australian National University,Australia
1004,Nanjing University,China
1005,University of Science and Technology of China,China
1006,University of Rochester,United States
1007,"Ludwig-Maximilians-Universität München, Siemens AG",
1008,The University of Iowa,United States
1009,Shanghai Jiao Tong University,China
1010,Penn State University,United States
1011,UNIST,
1012,Duke university,United States
1013,Zhejiang University & Tencent AI Lab,
1014,"FIT, Monash University",
1015,The City University of New York,
1016,University of Wisconsin - Madison,United States
1017,Independent Researcher,
1018,"Google, Mountain View",
1019,Yale University,United States
1020,"Columbia University, New York City, NY, USA",
1021,陈林,
1022,Criteo,France
1023,"University of Washington, School of Computer Science and Engineering, Seattle, WA, USA",
1024,Saudi Aramco,
1025,Technion – Israel Institute of Technology,
1026, Princeton University and Institute for Advanced Study,
1027,Northwestern University,United States
1028,"University of Texas at Austin, USA",
1029,IBM Watson,
1030,University of Cambridge and MPI Tübingen,
1031,UC Irvine,United States
1032,Yonsei univ.,
1033,Vrije Universiteit Brussel,Belgium
1034,"University of California at Berkeley, Department of Statistics, CA, USA",
1035,Ohio State University,United States
1036,University of Utah,United States
1037,Imperial College London,United Kingdom
1038,"Polytechnic University of Milan, Italy",
1039,ENSAE-CREST Paris,
1040,South China University of Technology,China
1041,RWTH,Germany
1042,University of Wisconsin-Madison,United States
1043,Two Sigma Investments,
1044,"Magic Leap Inc., Sunnyvale, CA, USA",
1045,SUNY at Buffalo,United States
1046,University of Technology Sydney,Australia
1047,"University of California Berkeley, Department of Electrical Engineering and Computer Sciences, CA, USA",
1048,UC Davis,United States
1049,Sapienza University,Italy
1050,Google Brain Robotics,
1051,Purdue University,United States
1052,"EPFL, Lausanne, Laboratory of Computational Neuroscience",
1053,Google AI,
1054,"Jagiellonian University, Poland",
1055,TU Munich,Germany
1056,INRIA,
1057,(organization),
1058,"Bosch Center for Artificial Intelligence, Max Planck Institute for Intelligent Systems",
1059,National Research University Higher School of Economics,Russia
1060,California Institute of technology,
1061,Heidelberg University,Germany
1062,Yandex,
1063,杜少雷,
1064,"University of California, Berkeley",
1065,"University of Freiburg, Department of Computer Science, Germany",
1066,University of Illinois at Chicago,United States
1067,"CNRS, Toulouse",
1068,Technical University of Denmark,Denmark
1069,Istituto Italiano di Tecnologia - University College London,
1070,Inria Lille Nord-Europe,
1071,McGill University,Canada
1072,"Preferred Networks, Inc.",
1073,TU Wien,Austria
1074,Montreal Institute for Learning Algorithms,
1075,"Télécom Paris (ENST), Paris, France",
1076,UW-Madison; Princeton University,
1077,TECHNICAL UNIVERSITY OF CRETE,
1078,Harvard Medical School,United States
1079,Oregon State University,United States
1080,University of Pittsburgh,United States
1081,Toyota Technological Institute at Chicago,United States
1082,University of Tübingen,Germany
1083,Tencent AI Lab,
1084,Dartmouth College,United States
1085,Aalto University,Finland[a]
1086,University of Kentucky,
1087,"University of California, Los Angeles",United States
1088,"University of Wisconsin, Wisconsin Institute for Discovery, Madison, WI, USA",
1089,Fudan University,China
1090,University of Maryland College Park,United States
1091,BAE Systems FAST Labs,
1092,NEC Corporation,Japan
1093,"Weizmann Institute of Science, Rehovot, Israe",
1094,Seoul National University,South Korea
1095,Uber AI Labs,
1096,Amazon Research Tübingen,
1097,"Google AI, Mountain View, CA, USA",
1098,MIT Computer Science and Artificial Intelligence Laboratory,
1099,PROWLER.io,
1100,Idiap Research Institute,
1101,Google Brain Amsterdam,
1102,National University of Singapore,
1103,Singapore University Of Technology And Design,
1104,The University of Electro-Communications,
1105,"MILA, University of Montreal",
1106,"Department of Computer and Information Science, University of Pennsylvania",
1107,Wichita State University,United States[6]
1108,RIKEN,
1109,"SeoulTech, Rutgers University",
1110,"DeepMind, University of Oxford",
1111,The Australian National University,Australia
1112,"AI2, Allen Institute for Artificial Intelligence, Seattle, US",
1113,Warwick University,
1114,U-Tokyo,
1115,The University of Chicago,United States
1116,"CRIL UMR CNRS 8188, Univ. Artois",
1117,University of Edinburgh,"Scotland, UK"
1118,University of Florida,United States
1119,IIT Bombay,
1120,University of Milan,
